pw0	pw1	weight	features
Cationic antimicrobial peptide (CAMP) resistance PAO1	Cationic antimicrobial peptide (CAMP) resistance, arnBCADTEF operon	19	19.0 22.0 26.0 42.0 67.0 82.0 119.0 132.0 134.0 167.0 171.0 174.0 176.0 208.0 229.0 252.0 286.0 288.0 299.0
Cyanoamino acid metabolism PAO1	Quorum sensing PAO1	14	29.0 33.0 34.0 63.0 66.0 75.0 87.0 88.0 145.0 190.0 203.0 260.0 282.0 299.0
Quorum sensing PAO1	Type VI secretion system	13	12.0 33.0 63.0 66.0 78.0 136.0 159.0 160.0 190.0 191.0 250.0 274.0 286.0
Phenazine biosynthesis PAO1	Quorum sensing PAO1	12	34.0 63.0 66.0 75.0 87.0 128.0 145.0 149.0 190.0 203.0 207.0 260.0
Ribosome PAO1	Ribosome, bacteria	11	23.0 31.0 46.0 62.0 85.0 95.0 126.0 129.0 144.0 253.0 265.0
Tyrosine metabolism PAO1	Valine, leucine and isoleucine degradation PAO1	11	34.0 39.0 111.0 139.0 195.0 208.0 225.0 251.0 254.0 294.0 299.0
Cyanoamino acid metabolism PAO1	Phenazine biosynthesis PAO1	10	34.0 63.0 66.0 75.0 87.0 145.0 190.0 203.0 255.0 260.0
Putative polar amino acid transport system	Sulfur metabolism PAO1	7	42.0 102.0 134.0 158.0 197.0 212.0 238.0
Cationic antimicrobial peptide (CAMP) resistance PAO1	Quorum sensing PAO1	7	19.0 141.0 169.0 191.0 229.0 286.0 299.0
Aminobenzoate degradation PAO1	Styrene degradation PAO1	6	44.0 51.0 166.0 169.0 211.0 240.0
Quorum sensing PAO1	Tyrosine metabolism PAO1	6	26.0 33.0 34.0 39.0 75.0 189.0
Aminobenzoate degradation PAO1	Biosynthesis of siderophore group nonribosomal peptides PAO1	6	13.0 90.0 137.0 152.0 166.0 240.0
Quorum sensing PAO1	Vanadium resistance, efflux pump MexGHI-OpmD	6	34.0 55.0 63.0 78.0 207.0 222.0
Aminobenzoate degradation PAO1	Benzoate degradation PAO1	6	37.0 44.0 51.0 156.0 240.0 271.0
Oxidative phosphorylation PAO1	Ribosome PAO1	5	85.0 95.0 126.0 129.0 144.0
Aminobenzoate degradation PAO1	Cationic antimicrobial peptide (CAMP) resistance PAO1	5	37.0 67.0 168.0 169.0 252.0
Oxidative phosphorylation PAO1	Ribosome, bacteria	5	85.0 95.0 126.0 129.0 144.0
Glycine betaine/proline transport system	Glycine, serine and threonine metabolism PAO1	5	153.0 192.0 210.0 247.0 298.0
Aminobenzoate degradation PAO1	Oxidative phosphorylation PAO1	4	87.0 140.0 273.0 274.0
Aminobenzoate degradation PAO1	Degradation of aromatic compounds PAO1	4	90.0 103.0 122.0 166.0
Glycine, serine and threonine metabolism PAO1	Methane metabolism PAO1	4	153.0 192.0 210.0 247.0
Cyanoamino acid metabolism PAO1	Tyrosine metabolism PAO1	4	33.0 34.0 44.0 75.0
Type III secretion system	Tyrosine metabolism PAO1	4	138.0 187.0 216.0 284.0
Glycine betaine/proline transport system	Methane metabolism PAO1	4	153.0 192.0 210.0 247.0
Cationic antimicrobial peptide (CAMP) resistance PAO1	Type VI secretion system	4	37.0 191.0 279.0 286.0
Biosynthesis of siderophore group nonribosomal peptides PAO1	Quorum sensing PAO1	4	29.0 75.0 145.0 250.0
Biosynthesis of siderophore group nonribosomal peptides PAO1	Sulfur metabolism PAO1	4	102.0 238.0 255.0 291.0
Cationic antimicrobial peptide (CAMP) resistance PAO1	Nitrogen metabolism PAO1	4	74.0 176.0 191.0 230.0
Phenazine biosynthesis PAO1	Type VI secretion system	4	63.0 66.0 190.0 285.0
Biosynthesis of siderophore group nonribosomal peptides PAO1	Cyanoamino acid metabolism PAO1	4	29.0 75.0 145.0 255.0
Cationic antimicrobial peptide (CAMP) resistance, arnBCADTEF operon	Quorum sensing PAO1	4	19.0 229.0 286.0 299.0
Biosynthesis of siderophore group nonribosomal peptides PAO1	Phenazine biosynthesis PAO1	4	75.0 145.0 255.0 290.0
Biosynthesis of siderophore group nonribosomal peptides PAO1	Iron complex transport system	4	13.0 76.0 126.0 177.0
Cyanoamino acid metabolism PAO1	Type VI secretion system	4	33.0 63.0 66.0 190.0
Phenazine biosynthesis PAO1	Tyrosine metabolism PAO1	4	34.0 75.0 138.0 225.0
Phenazine biosynthesis PAO1	Vanadium resistance, efflux pump MexGHI-OpmD	3	34.0 63.0 207.0
Denitrification, nitrate => nitrogen	Type III secretion system	3	93.0 187.0 211.0
Iron complex transport system	Zinc transport system	3	13.0 65.0 76.0
Benzoate degradation PAO1	Styrene degradation PAO1	3	44.0 51.0 240.0
Aminobenzoate degradation PAO1	Dipeptide transport system	3	90.0 249.0 268.0
Cationic antimicrobial peptide (CAMP) resistance PAO1	Fructose and mannose metabolism PAO1	3	111.0 167.0 244.0
Nitrogen metabolism PAO1	Quorum sensing PAO1	3	42.0 75.0 191.0
Aminobenzoate degradation PAO1	Valine, leucine and isoleucine degradation PAO1	3	122.0 152.0 156.0
Aminobenzoate degradation PAO1	Flagellar assembly PAO1	3	127.0 156.0 175.0
Tyrosine metabolism PAO1	Vanadium resistance, efflux pump MexGHI-OpmD	3	34.0 254.0 280.0
Bacterial chemotaxis PAO1	Flagellar assembly PAO1	3	70.0 117.0 156.0
