pw0	pw1	weight	features
Cationic antimicrobial peptide (CAMP) resistance PAO1	Cationic antimicrobial peptide (CAMP) resistance, arnBCADTEF operon	18	21.0 35.0 89.0 104.0 115.0 142.0 148.0 197.0 201.0 207.0 211.0 216.0 242.0 249.0 253.0 261.0 262.0 269.0
Ribosome PAO1	Ribosome, bacteria	14	0.0 6.0 16.0 30.0 44.0 69.0 91.0 109.0 110.0 112.0 113.0 187.0 193.0 229.0
Tyrosine metabolism PAO1	Valine, leucine and isoleucine degradation PAO1	13	10.0 55.0 67.0 122.0 143.0 159.0 168.0 183.0 216.0 222.0 266.0 285.0 286.0
Quorum sensing PAO1	Type VI secretion system	10	25.0 27.0 29.0 31.0 36.0 80.0 131.0 190.0 249.0 260.0
Phenazine biosynthesis PAO1	Quorum sensing PAO1	8	15.0 29.0 31.0 36.0 113.0 203.0 249.0 299.0
Aminobenzoate degradation PAO1	Benzoate degradation PAO1	8	40.0 51.0 63.0 87.0 95.0 96.0 221.0 282.0
Cyanoamino acid metabolism PAO1	Quorum sensing PAO1	8	15.0 25.0 29.0 36.0 47.0 119.0 183.0 249.0
Putative polar amino acid transport system	Sulfur metabolism PAO1	7	2.0 11.0 67.0 74.0 92.0 172.0 253.0
Biosynthesis of siderophore group nonribosomal peptides PAO1	Zinc transport system	6	96.0 97.0 98.0 121.0 164.0 269.0
Macrolide resistance, MacAB-TolC transporter	Zinc transport system	6	2.0 87.0 96.0 121.0 246.0 260.0
Phenazine biosynthesis PAO1	Type VI secretion system	6	29.0 31.0 36.0 211.0 249.0 280.0
Aminobenzoate degradation PAO1	Degradation of aromatic compounds PAO1	6	66.0 95.0 109.0 175.0 201.0 284.0
Iron complex transport system	Zinc transport system	5	75.0 96.0 98.0 121.0 164.0
Quorum sensing PAO1	Vanadium resistance, efflux pump MexGHI-OpmD	5	31.0 113.0 131.0 203.0 256.0
Cationic antimicrobial peptide (CAMP) resistance PAO1	Type VI secretion system	5	242.0 253.0 260.0 261.0 265.0
Biosynthesis of siderophore group nonribosomal peptides PAO1	Quorum sensing PAO1	5	25.0 47.0 48.0 80.0 147.0
Aminobenzoate degradation PAO1	Biosynthesis of siderophore group nonribosomal peptides PAO1	5	38.0 40.0 85.0 171.0 282.0
Biosynthesis of siderophore group nonribosomal peptides PAO1	Iron complex transport system	5	12.0 96.0 98.0 121.0 164.0
Glycine betaine/proline transport system	Glycine, serine and threonine metabolism PAO1	5	66.0 77.0 83.0 153.0 224.0
Cationic antimicrobial peptide (CAMP) resistance, arnBCADTEF operon	Type VI secretion system	4	242.0 253.0 261.0 294.0
Cyanoamino acid metabolism PAO1	Phenazine biosynthesis PAO1	4	15.0 29.0 36.0 249.0
