pw0	pw1	weight	features
Cationic antimicrobial peptide (CAMP) resistance PAO1	Cationic antimicrobial peptide (CAMP) resistance, arnBCADTEF operon	20	11.0 28.0 43.0 49.0 53.0 74.0 83.0 94.0 136.0 160.0 177.0 190.0 200.0 208.0 212.0 226.0 263.0 278.0 288.0 291.0
Cyanoamino acid metabolism PAO1	Quorum sensing PAO1	12	13.0 40.0 50.0 62.0 65.0 112.0 123.0 131.0 213.0 232.0 243.0 245.0
Ribosome PAO1	Ribosome, bacteria	11	3.0 12.0 58.0 85.0 99.0 114.0 119.0 129.0 176.0 216.0 220.0
Quorum sensing PAO1	Type VI secretion system	11	50.0 65.0 84.0 112.0 123.0 131.0 149.0 184.0 218.0 222.0 243.0
Aminobenzoate degradation PAO1	Valine, leucine and isoleucine degradation PAO1	11	121.0 161.0 172.0 188.0 191.0 193.0 221.0 245.0 246.0 265.0 279.0
Cyanoamino acid metabolism PAO1	Phenazine biosynthesis PAO1	9	13.0 40.0 50.0 65.0 112.0 131.0 213.0 245.0 260.0
Phenazine biosynthesis PAO1	Quorum sensing PAO1	9	13.0 14.0 40.0 50.0 65.0 112.0 131.0 213.0 245.0
Aminobenzoate degradation PAO1	Benzoate degradation PAO1	9	161.0 179.0 188.0 191.0 202.0 207.0 245.0 246.0 264.0
Quorum sensing PAO1	Vanadium resistance, efflux pump MexGHI-OpmD	8	36.0 40.0 93.0 112.0 118.0 130.0 132.0 245.0
Tyrosine metabolism PAO1	Valine, leucine and isoleucine degradation PAO1	8	23.0 49.0 135.0 160.0 184.0 189.0 284.0 292.0
Cyanoamino acid metabolism PAO1	Type VI secretion system	7	50.0 65.0 112.0 123.0 131.0 243.0 260.0
Biosynthesis of siderophore group nonribosomal peptides PAO1	Quorum sensing PAO1	6	63.0 184.0 231.0 232.0 234.0 243.0
Aminobenzoate degradation PAO1	Degradation of aromatic compounds PAO1	6	121.0 130.0 142.0 210.0 242.0 272.0
Oxidative phosphorylation PAO1	Ribosome, bacteria	6	3.0 12.0 58.0 114.0 129.0 133.0
Phenazine biosynthesis PAO1	Type VI secretion system	6	50.0 65.0 112.0 131.0 242.0 260.0
Oxidative phosphorylation PAO1	Valine, leucine and isoleucine degradation PAO1	6	140.0 155.0 161.0 172.0 214.0 265.0
Biosynthesis of siderophore group nonribosomal peptides PAO1	Tyrosine metabolism PAO1	5	74.0 145.0 189.0 219.0 284.0
Biosynthesis of siderophore group nonribosomal peptides PAO1	Cationic antimicrobial peptide (CAMP) resistance PAO1	5	74.0 117.0 162.0 212.0 278.0
Oxidative phosphorylation PAO1	Ribosome PAO1	5	3.0 12.0 58.0 114.0 129.0
Aminobenzoate degradation PAO1	Cationic antimicrobial peptide (CAMP) resistance PAO1	5	28.0 76.0 94.0 170.0 221.0
Benzoate degradation PAO1	Valine, leucine and isoleucine degradation PAO1	5	161.0 188.0 191.0 245.0 246.0
Macrolide resistance, MacAB-TolC transporter	Zinc transport system	5	10.0 78.0 94.0 143.0 158.0
Cationic antimicrobial peptide (CAMP) resistance PAO1	Nitrogen metabolism PAO1	4	73.0 83.0 161.0 221.0
Aminobenzoate degradation PAO1	Phenazine biosynthesis PAO1	4	8.0 65.0 245.0 279.0
Biosynthesis of siderophore group nonribosomal peptides PAO1	Zinc transport system	4	10.0 78.0 158.0 231.0
Aminobenzoate degradation PAO1	Pentose phosphate pathway PAO1	4	76.0 124.0 210.0 265.0
Pentose phosphate pathway PAO1	Quorum sensing PAO1	4	76.0 146.0 241.0 299.0
Biosynthesis of siderophore group nonribosomal peptides PAO1	Valine, leucine and isoleucine degradation PAO1	4	140.0 189.0 270.0 284.0
Phosphonate and phosphinate metabolism PAO1	Phosphonate transport system	4	167.0 169.0 249.0 261.0
Biosynthesis of siderophore group nonribosomal peptides PAO1	Oxidative phosphorylation PAO1	4	16.0 69.0 117.0 140.0
Biosynthesis of siderophore group nonribosomal peptides PAO1	Type VI secretion system	4	162.0 184.0 243.0 289.0
Aminobenzoate degradation PAO1	Oxidative phosphorylation PAO1	4	76.0 161.0 172.0 265.0
Phenazine biosynthesis PAO1	Valine, leucine and isoleucine degradation PAO1	4	40.0 189.0 245.0 279.0
Styrene degradation PAO1	Valine, leucine and isoleucine degradation PAO1	4	40.0 144.0 188.0 279.0
Arginine biosynthesis PAO1	Pentose phosphate pathway PAO1	4	200.0 217.0 288.0 292.0
Glycine betaine/proline transport system	Glycine, serine and threonine metabolism PAO1	4	36.0 76.0 168.0 183.0
Cationic antimicrobial peptide (CAMP) resistance PAO1	Flagellar assembly PAO1	4	117.0 162.0 177.0 190.0
Phosphonate transport system	Type II general secretion pathway	3	167.0 169.0 261.0
Glycine, serine and threonine metabolism PAO1	Zinc transport system	3	17.0 143.0 259.0
Quorum sensing PAO1	Valine, leucine and isoleucine degradation PAO1	3	40.0 144.0 245.0
Aminobenzoate degradation PAO1	Quorum sensing PAO1	3	65.0 76.0 245.0
Nitrogen metabolism PAO1	Valine, leucine and isoleucine degradation PAO1	3	221.0 270.0 292.0
Quorum sensing PAO1	Tryptophan metabolism PAO1	3	63.0 123.0 232.0
Phosphate transport system	Phosphonate and phosphinate metabolism PAO1	3	167.0 249.0 261.0
Citrate cycle (TCA cycle) PAO1	Ribosome, bacteria	3	12.0 58.0 176.0
Quorum sensing PAO1	Styrene degradation PAO1	3	40.0 144.0 231.0
Glycine, serine and threonine metabolism PAO1	Tyrosine metabolism PAO1	3	17.0 49.0 74.0
Aminobenzoate degradation PAO1	Biosynthesis of siderophore group nonribosomal peptides PAO1	3	158.0 215.0 286.0
NitT/TauT family transport system	Sulfur metabolism PAO1	3	147.0 195.0 198.0
Fructose and mannose metabolism PAO1	Tyrosine metabolism PAO1	3	49.0 110.0 266.0
Valine, leucine and isoleucine degradation PAO1	Vanadium resistance, efflux pump MexGHI-OpmD	3	40.0 221.0 245.0
Biosynthesis of siderophore group nonribosomal peptides PAO1	Macrolide resistance, MacAB-TolC transporter	3	10.0 78.0 158.0
Glycerophospholipid metabolism PAO1	Phosphonate and phosphinate metabolism PAO1	3	169.0 249.0 261.0
Glycine, serine and threonine metabolism PAO1	Quorum sensing PAO1	3	36.0 85.0 244.0
Arginine biosynthesis PAO1	Tyrosine metabolism PAO1	3	175.0 189.0 225.0
Bacterial secretion system PAO1	Type III secretion system	3	182.0 218.0 238.0
Cyanoamino acid metabolism PAO1	Vanadium resistance, efflux pump MexGHI-OpmD	3	40.0 112.0 245.0
Quorum sensing PAO1	Tyrosine metabolism PAO1	3	31.0 131.0 276.0
Phosphate transport system	Phosphonate transport system	3	167.0 249.0 261.0
Oxidative phosphorylation PAO1	Quorum sensing PAO1	3	34.0 76.0 93.0
Biosynthesis of siderophore group nonribosomal peptides PAO1	Cationic antimicrobial peptide (CAMP) resistance, arnBCADTEF operon	3	74.0 212.0 278.0
Fructose and mannose metabolism PAO1	Valine, leucine and isoleucine degradation PAO1	3	49.0 144.0 155.0
Glycerophospholipid metabolism PAO1	Phosphonate transport system	3	169.0 249.0 261.0
Glyoxylate and dicarboxylate metabolism PAO1	Tyrosine metabolism PAO1	3	145.0 276.0 292.0
Glycine, serine and threonine metabolism PAO1	Type VI secretion system	3	17.0 143.0 155.0
Phenazine biosynthesis PAO1	Vanadium resistance, efflux pump MexGHI-OpmD	3	40.0 112.0 245.0
Nitrogen metabolism PAO1	Tyrosine metabolism PAO1	3	108.0 244.0 292.0
Phosphonate and phosphinate metabolism PAO1	Type II general secretion pathway	3	167.0 169.0 261.0
Quorum sensing PAO1	Type III secretion system	3	28.0 31.0 218.0
Glycine, serine and threonine metabolism PAO1	Methane metabolism PAO1	3	142.0 168.0 183.0
Citrate cycle (TCA cycle) PAO1	Ribosome PAO1	3	12.0 58.0 176.0
Oxidative phosphorylation PAO1	Propanoate metabolism PAO1	3	102.0 172.0 265.0
Bacterial secretion system PAO1	Type VI secretion system	2	182.0 218.0
Citrate cycle (TCA cycle, Krebs cycle)	Ribosome PAO1	2	114.0 176.0
Propanoate metabolism PAO1	Valine, leucine and isoleucine degradation PAO1	2	172.0 265.0
Cationic antimicrobial peptide (CAMP) resistance PAO1	Valine, leucine and isoleucine degradation PAO1	2	160.0 221.0
Cationic antimicrobial peptide (CAMP) resistance, arnBCADTEF operon	Tyrosine metabolism PAO1	2	74.0 160.0
Denitrification, nitrate => nitrogen	Sulfur metabolism PAO1	2	13.0 199.0
Glycerophospholipid metabolism PAO1	Phosphate transport system	2	249.0 261.0
Aminobenzoate degradation PAO1	Propanoate metabolism PAO1	2	172.0 265.0
Oxidative phosphorylation PAO1	Vanadium resistance, efflux pump MexGHI-OpmD	2	93.0 172.0
Phenazine biosynthesis PAO1	Styrene degradation PAO1	2	40.0 279.0
Biosynthesis of siderophore group nonribosomal peptides PAO1	Iron complex transport system	2	10.0 145.0
Denitrification, nitrate => nitrogen	Oxidative phosphorylation PAO1	2	122.0 129.0
Cationic antimicrobial peptide (CAMP) resistance PAO1	Pentose phosphate pathway PAO1	2	76.0 288.0
Cyanoamino acid metabolism PAO1	Valine, leucine and isoleucine degradation PAO1	2	40.0 245.0
Arginine biosynthesis PAO1	Cationic antimicrobial peptide (CAMP) resistance, arnBCADTEF operon	2	49.0 288.0
Arginine biosynthesis PAO1	Glutamate/aspartate transport system	2	68.0 84.0
Phenazine biosynthesis PAO1	Sulfur metabolism PAO1	2	238.0 295.0
Butanoate metabolism PAO1	Tyrosine metabolism PAO1	2	145.0 225.0
Cationic antimicrobial peptide (CAMP) resistance PAO1	Oxidative phosphorylation PAO1	2	76.0 117.0
Fructose and mannose metabolism PAO1	Quorum sensing PAO1	2	144.0 146.0
Citrate cycle (TCA cycle) PAO1	Oxidative phosphorylation PAO1	2	12.0 58.0
Biosynthesis of siderophore group nonribosomal peptides PAO1	Denitrification, nitrate => nitrogen	2	4.0 278.0
Degradation of aromatic compounds PAO1	Pentose phosphate pathway PAO1	2	210.0 230.0
Aminobenzoate degradation PAO1	Styrene degradation PAO1	2	188.0 279.0
Arginine biosynthesis PAO1	Valine, leucine and isoleucine degradation PAO1	2	29.0 189.0
Type VI secretion system	Tyrosine metabolism PAO1	2	17.0 131.0
Dipeptide transport system	Valine, leucine and isoleucine degradation PAO1	2	144.0 160.0
Putative polar amino acid transport system	Sulfur metabolism PAO1	2	198.0 296.0
Cationic antimicrobial peptide (CAMP) resistance PAO1	Quorum sensing PAO1	2	76.0 122.0
Biosynthesis of siderophore group nonribosomal peptides PAO1	Flagellar assembly PAO1	2	117.0 162.0
Arginine biosynthesis PAO1	Cationic antimicrobial peptide (CAMP) resistance PAO1	2	49.0 288.0
Cationic antimicrobial peptide (CAMP) resistance PAO1	Type III secretion system	2	208.0 239.0
Type III secretion system	Tyrosine metabolism PAO1	2	31.0 234.0
Arginine biosynthesis PAO1	Type VI secretion system	2	115.0 222.0
Type VI secretion system	Zinc transport system	2	17.0 143.0
Biosynthesis of siderophore group nonribosomal peptides PAO1	Tryptophan metabolism PAO1	2	63.0 232.0
Cyanoamino acid metabolism PAO1	Cytochrome c oxidase, cbb3-type	2	62.0 260.0
Aminobenzoate degradation PAO1	Nitrogen metabolism PAO1	2	14.0 221.0
Cyanoamino acid metabolism PAO1	Nitrogen metabolism PAO1	2	26.0 260.0
Phenazine biosynthesis PAO1	Tyrosine metabolism PAO1	2	131.0 189.0
Aminobenzoate degradation PAO1	Cationic antimicrobial peptide (CAMP) resistance, arnBCADTEF operon	2	28.0 94.0
Citrate cycle (TCA cycle) PAO1	Citrate cycle (TCA cycle, Krebs cycle)	2	176.0 235.0
Arginine biosynthesis PAO1	Cytochrome c oxidase, cbb3-type	2	63.0 197.0
Cyanoamino acid metabolism PAO1	Tryptophan metabolism PAO1	2	123.0 232.0
Biosynthesis of siderophore group nonribosomal peptides PAO1	Cyanoamino acid metabolism PAO1	2	232.0 243.0
Glycerophospholipid metabolism PAO1	Type II general secretion pathway	2	169.0 261.0
Tyrosine metabolism PAO1	Zinc transport system	2	17.0 266.0
Type VI secretion system	Vanadium resistance, efflux pump MexGHI-OpmD	2	112.0 172.0
Biosynthesis of siderophore group nonribosomal peptides PAO1	Glycine, serine and threonine metabolism PAO1	2	101.0 183.0
Aminobenzoate degradation PAO1	Cyanoamino acid metabolism PAO1	2	65.0 245.0
Fructose and mannose metabolism PAO1	Sulfur metabolism PAO1	2	144.0 295.0
Phosphate transport system	Type II general secretion pathway	2	167.0 261.0
Cationic antimicrobial peptide (CAMP) resistance, arnBCADTEF operon	Flagellar assembly PAO1	2	177.0 190.0
Sulfur metabolism PAO1	Valine, leucine and isoleucine degradation PAO1	2	144.0 253.0
Oxidative phosphorylation PAO1	Pentose phosphate pathway PAO1	2	76.0 265.0
Citrate cycle (TCA cycle, Krebs cycle)	Ribosome, bacteria	2	114.0 176.0
Cationic antimicrobial peptide (CAMP) resistance PAO1	Tyrosine metabolism PAO1	2	74.0 160.0
Aminobenzoate degradation PAO1	Vanadium resistance, efflux pump MexGHI-OpmD	2	221.0 245.0
Glycine betaine/proline transport system	Methane metabolism PAO1	2	168.0 183.0
Aminobenzoate degradation PAO1	Type VI secretion system	2	65.0 246.0
Denitrification, nitrate => nitrogen	Phenazine biosynthesis PAO1	1	53.0
Dissimilatory nitrate reduction, nitrate => ammonia	Valine, leucine and isoleucine degradation PAO1	1	135.0
Aminobenzoate degradation PAO1	Multidrug resistance, efflux pump MexPQ-OpmE	1	230.0
Oxidative phosphorylation PAO1	Type VI secretion system	1	172.0
Arginine biosynthesis PAO1	Histidine metabolism PAO1	1	27.0
Fructose and mannose metabolism PAO1	Pentose phosphate pathway PAO1	1	146.0
