pw0	pw1	weight	features
Cyanoamino acid metabolism PAO1	Quorum sensing PAO1	14	60.0 114.0 116.0 137.0 146.0 150.0 151.0 170.0 194.0 221.0 241.0 243.0 269.0 277.0
Ribosome PAO1	Ribosome, bacteria	12	22.0 37.0 38.0 49.0 54.0 68.0 125.0 186.0 213.0 242.0 244.0 245.0
Aminobenzoate degradation PAO1	Benzoate degradation PAO1	9	4.0 131.0 175.0 191.0 223.0 232.0 260.0 267.0 293.0
Quorum sensing PAO1	Type VI secretion system	9	114.0 130.0 146.0 170.0 175.0 231.0 243.0 269.0 277.0
Biosynthesis of siderophore group nonribosomal peptides PAO1	Quorum sensing PAO1	9	26.0 79.0 137.0 147.0 151.0 170.0 201.0 250.0 277.0
Cationic antimicrobial peptide (CAMP) resistance PAO1	Cationic antimicrobial peptide (CAMP) resistance, arnBCADTEF operon	9	15.0 46.0 51.0 79.0 127.0 251.0 279.0 293.0 296.0
Quorum sensing PAO1	Vanadium resistance, efflux pump MexGHI-OpmD	9	60.0 79.0 84.0 98.0 138.0 194.0 231.0 265.0 269.0
Phenazine biosynthesis PAO1	Quorum sensing PAO1	8	60.0 65.0 114.0 145.0 150.0 151.0 194.0 277.0
Quorum sensing PAO1	Tyrosine metabolism PAO1	8	23.0 26.0 96.0 116.0 130.0 216.0 265.0 277.0
Cyanoamino acid metabolism PAO1	Type VI secretion system	8	114.0 140.0 146.0 170.0 232.0 243.0 269.0 277.0
Tyrosine metabolism PAO1	Valine, leucine and isoleucine degradation PAO1	8	47.0 58.0 115.0 155.0 216.0 228.0 265.0 277.0
Putative polar amino acid transport system	Sulfur metabolism PAO1	7	11.0 47.0 134.0 155.0 204.0 248.0 256.0
Aminobenzoate degradation PAO1	Biosynthesis of siderophore group nonribosomal peptides PAO1	7	131.0 190.0 201.0 232.0 253.0 262.0 293.0
Cyanoamino acid metabolism PAO1	Phenazine biosynthesis PAO1	7	60.0 114.0 150.0 151.0 194.0 232.0 277.0
Glycine betaine/proline transport system	Glycine, serine and threonine metabolism PAO1	6	88.0 198.0 199.0 218.0 264.0 267.0
Quorum sensing PAO1	Valine, leucine and isoleucine degradation PAO1	6	84.0 151.0 216.0 241.0 265.0 277.0
Aminobenzoate degradation PAO1	Nitrogen metabolism PAO1	5	34.0 75.0 124.0 272.0 293.0
Phosphonate and phosphinate metabolism PAO1	Phosphonate transport system	5	54.0 86.0 123.0 142.0 183.0
