pw0	pw1	weight	features
Cationic antimicrobial peptide (CAMP) resistance PAO1	Cationic antimicrobial peptide (CAMP) resistance, arnBCADTEF operon	17	15.0 19.0 40.0 86.0 88.0 91.0 142.0 146.0 167.0 207.0 213.0 219.0 257.0 260.0 275.0 288.0 294.0
Phenazine biosynthesis PAO1	Quorum sensing PAO1	14	13.0 16.0 34.0 67.0 82.0 90.0 139.0 158.0 164.0 174.0 220.0 221.0 255.0 299.0
Tyrosine metabolism PAO1	Valine, leucine and isoleucine degradation PAO1	14	9.0 51.0 122.0 139.0 144.0 179.0 194.0 196.0 226.0 230.0 233.0 244.0 280.0 298.0
Cyanoamino acid metabolism PAO1	Quorum sensing PAO1	13	16.0 34.0 82.0 90.0 132.0 152.0 158.0 164.0 176.0 221.0 237.0 280.0 287.0
Ribosome PAO1	Ribosome, bacteria	13	73.0 89.0 95.0 98.0 102.0 107.0 109.0 128.0 131.0 133.0 163.0 180.0 269.0
Quorum sensing PAO1	Type VI secretion system	9	16.0 67.0 82.0 90.0 132.0 151.0 158.0 164.0 287.0
Quorum sensing PAO1	Vanadium resistance, efflux pump MexGHI-OpmD	9	13.0 25.0 26.0 34.0 67.0 139.0 151.0 152.0 255.0
Oxidative phosphorylation PAO1	Ribosome, bacteria	8	73.0 89.0 107.0 128.0 131.0 133.0 163.0 203.0
Aminobenzoate degradation PAO1	Benzoate degradation PAO1	8	18.0 24.0 39.0 80.0 117.0 123.0 238.0 253.0
Cyanoamino acid metabolism PAO1	Type VI secretion system	8	16.0 82.0 90.0 132.0 158.0 164.0 258.0 287.0
Cyanoamino acid metabolism PAO1	Phenazine biosynthesis PAO1	7	16.0 34.0 82.0 90.0 158.0 164.0 221.0
Oxidative phosphorylation PAO1	Ribosome PAO1	7	73.0 89.0 107.0 128.0 131.0 133.0 163.0
Aminobenzoate degradation PAO1	Degradation of aromatic compounds PAO1	6	50.0 55.0 58.0 161.0 171.0 290.0
Phenazine biosynthesis PAO1	Type VI secretion system	6	16.0 67.0 82.0 90.0 158.0 164.0
Macrolide resistance, MacAB-TolC transporter	Zinc transport system	5	24.0 83.0 169.0 177.0 201.0
Phenazine biosynthesis PAO1	Tyrosine metabolism PAO1	5	24.0 67.0 139.0 220.0 276.0
Biosynthesis of siderophore group nonribosomal peptides PAO1	Zinc transport system	5	83.0 125.0 177.0 206.0 263.0
Cationic antimicrobial peptide (CAMP) resistance PAO1	Quorum sensing PAO1	5	38.0 146.0 221.0 232.0 280.0
Putative polar amino acid transport system	Sulfur metabolism PAO1	5	106.0 174.0 189.0 196.0 214.0
Phenazine biosynthesis PAO1	Vanadium resistance, efflux pump MexGHI-OpmD	5	13.0 34.0 67.0 139.0 255.0
Aminobenzoate degradation PAO1	Cationic antimicrobial peptide (CAMP) resistance PAO1	5	39.0 91.0 94.0 161.0 200.0
Type III secretion system	Tyrosine metabolism PAO1	5	15.0 65.0 67.0 162.0 292.0
Biosynthesis of siderophore group nonribosomal peptides PAO1	Vanadium resistance, efflux pump MexGHI-OpmD	4	10.0 33.0 192.0 231.0
Aminobenzoate degradation PAO1	Biosynthesis of siderophore group nonribosomal peptides PAO1	4	82.0 134.0 177.0 255.0
Phenylalanine metabolism PAO1	Valine, leucine and isoleucine degradation PAO1	4	51.0 111.0 219.0 244.0
Iron complex transport system	Zinc transport system	4	8.0 83.0 125.0 177.0
Citrate cycle (TCA cycle) PAO1	Ribosome, bacteria	4	0.0 89.0 109.0 131.0
Glycine betaine/proline transport system	Methane metabolism PAO1	4	11.0 58.0 147.0 240.0
Biosynthesis of siderophore group nonribosomal peptides PAO1	Tyrosine metabolism PAO1	4	16.0 35.0 51.0 220.0
Aminobenzoate degradation PAO1	Quorum sensing PAO1	4	57.0 97.0 113.0 274.0
Biosynthesis of siderophore group nonribosomal peptides PAO1	Iron complex transport system	4	66.0 83.0 125.0 177.0
Biosynthesis of siderophore group nonribosomal peptides PAO1	Phenazine biosynthesis PAO1	4	28.0 174.0 220.0 263.0
Glycine, serine and threonine metabolism PAO1	Methane metabolism PAO1	4	11.0 87.0 147.0 240.0
Glycine betaine/proline transport system	Glycine, serine and threonine metabolism PAO1	4	11.0 147.0 240.0 277.0
Biosynthesis of siderophore group nonribosomal peptides PAO1	Nitrogen metabolism PAO1	4	28.0 75.0 231.0 263.0
Quorum sensing PAO1	Tyrosine metabolism PAO1	4	67.0 139.0 220.0 230.0
Glyoxylate and dicarboxylate metabolism PAO1	Valine, leucine and isoleucine degradation PAO1	4	30.0 114.0 179.0 196.0
Cyanoamino acid metabolism PAO1	Vanadium resistance, efflux pump MexGHI-OpmD	3	34.0 85.0 152.0
Glycine, serine and threonine metabolism PAO1	Valine, leucine and isoleucine degradation PAO1	3	9.0 111.0 272.0
Styrene degradation PAO1	Tyrosine metabolism PAO1	3	24.0 139.0 160.0
Biosynthesis of siderophore group nonribosomal peptides PAO1	Denitrification, nitrate => nitrogen	3	33.0 82.0 183.0
Phosphonate and phosphinate metabolism PAO1	Phosphonate transport system	3	48.0 178.0 238.0
Phenazine biosynthesis PAO1	Type III secretion system	3	18.0 21.0 67.0
Glycerolipid metabolism PAO1	Pentose phosphate pathway PAO1	3	35.0 162.0 195.0
Aminobenzoate degradation PAO1	Valine, leucine and isoleucine degradation PAO1	3	9.0 91.0 123.0
Glyoxylate and dicarboxylate metabolism PAO1	Tyrosine metabolism PAO1	3	97.0 179.0 196.0
NitT/TauT family transport system	Putative polar amino acid transport system	3	106.0 189.0 214.0
Biosynthesis of siderophore group nonribosomal peptides PAO1	Cationic antimicrobial peptide (CAMP) resistance PAO1	3	40.0 145.0 213.0
Citrate cycle (TCA cycle) PAO1	Oxidative phosphorylation PAO1	3	27.0 89.0 131.0
Cationic antimicrobial peptide (CAMP) resistance, arnBCADTEF operon	Sulfur metabolism PAO1	3	47.0 63.0 207.0
Biosynthesis of siderophore group nonribosomal peptides PAO1	Quorum sensing PAO1	3	174.0 220.0 253.0
Glycine, serine and threonine metabolism PAO1	Tyrosine metabolism PAO1	3	3.0 9.0 87.0
Oxidative phosphorylation PAO1	Tyrosine metabolism PAO1	3	26.0 57.0 226.0
Type VI secretion system	Tyrosine metabolism PAO1	3	36.0 67.0 77.0
Sulfur metabolism PAO1	Vanadium resistance, efflux pump MexGHI-OpmD	3	93.0 207.0 255.0
Bacterial secretion system PAO1	Type III secretion system	3	67.0 68.0 162.0
Biosynthesis of siderophore group nonribosomal peptides PAO1	Valine, leucine and isoleucine degradation PAO1	3	51.0 213.0 219.0
Citrate cycle (TCA cycle) PAO1	Ribosome PAO1	3	89.0 109.0 131.0
Cytochrome c oxidase, cbb3-type	Vanadium resistance, efflux pump MexGHI-OpmD	3	13.0 34.0 85.0
Aminobenzoate degradation PAO1	Glycine, serine and threonine metabolism PAO1	3	9.0 55.0 296.0
Quorum sensing PAO1	Type III secretion system	3	38.0 67.0 284.0
Type VI secretion system	Vanadium resistance, efflux pump MexGHI-OpmD	3	67.0 93.0 151.0
NitT/TauT family transport system	Sulfur metabolism PAO1	3	106.0 189.0 214.0
Starch and sucrose metabolism PAO1	Vanadium resistance, efflux pump MexGHI-OpmD	3	2.0 25.0 197.0
Citrate cycle (TCA cycle, Krebs cycle)	Ribosome, bacteria	2	89.0 109.0
Cationic antimicrobial peptide (CAMP) resistance, arnBCADTEF operon	Type III secretion system	2	18.0 63.0
Cationic antimicrobial peptide (CAMP) resistance, arnBCADTEF operon	Valine, leucine and isoleucine degradation PAO1	2	91.0 213.0
Cationic antimicrobial peptide (CAMP) resistance, arnBCADTEF operon	Cytochrome c oxidase, cbb3-type	2	142.0 213.0
Methane metabolism PAO1	Tyrosine metabolism PAO1	2	26.0 57.0
Biosynthesis of siderophore group nonribosomal peptides PAO1	Glycine, serine and threonine metabolism PAO1	2	154.0 277.0
Cationic antimicrobial peptide (CAMP) resistance PAO1	Valine, leucine and isoleucine degradation PAO1	2	91.0 213.0
Propanoate metabolism PAO1	Valine, leucine and isoleucine degradation PAO1	2	114.0 144.0
Aminobenzoate degradation PAO1	Macrolide resistance, MacAB-TolC transporter	2	24.0 177.0
Oxidative phosphorylation PAO1	Pyruvate metabolism PAO1	2	30.0 81.0
Arginine biosynthesis PAO1	Cytochrome c oxidase, cbb3-type	2	23.0 257.0
Bacterial secretion system PAO1	Tyrosine metabolism PAO1	2	67.0 162.0
Biosynthesis of siderophore group nonribosomal peptides PAO1	Glycine betaine/proline transport system	2	263.0 277.0
Phosphonate transport system	Type II general secretion pathway	2	48.0 178.0
Cytochrome c oxidase, cbb3-type	Quorum sensing PAO1	2	13.0 34.0
Aminobenzoate degradation PAO1	Starch and sucrose metabolism PAO1	2	2.0 171.0
Pentose phosphate pathway PAO1	Tyrosine metabolism PAO1	2	35.0 86.0
Glycerophospholipid metabolism PAO1	Phosphate transport system	2	48.0 238.0
Aminobenzoate degradation PAO1	Zinc transport system	2	24.0 177.0
Phenazine biosynthesis PAO1	Styrene degradation PAO1	2	24.0 139.0
Denitrification, nitrate => nitrogen	Sulfur metabolism PAO1	2	184.0 186.0
Benzoate degradation PAO1	Butanoate metabolism PAO1	2	117.0 297.0
Benzoate degradation PAO1	Cationic antimicrobial peptide (CAMP) resistance, arnBCADTEF operon	2	18.0 294.0
Flagellar assembly PAO1	Quorum sensing PAO1	2	146.0 188.0
Iron complex transport system	Macrolide resistance, MacAB-TolC transporter	2	83.0 177.0
Nitrogen metabolism PAO1	Sulfur metabolism PAO1	2	93.0 186.0
Cationic antimicrobial peptide (CAMP) resistance PAO1	beta-Alanine metabolism PAO1	2	207.0 217.0
Oxidative phosphorylation PAO1	Protein export PAO1	2	71.0 73.0
Valine, leucine and isoleucine degradation PAO1	Vanadium resistance, efflux pump MexGHI-OpmD	2	139.0 218.0
Oxidative phosphorylation PAO1	Pentose phosphate pathway PAO1	2	30.0 234.0
Propanoate metabolism PAO1	Tyrosine metabolism PAO1	2	26.0 144.0
Nitrogen metabolism PAO1	Vanadium resistance, efflux pump MexGHI-OpmD	2	93.0 231.0
Histidine metabolism PAO1	Valine, leucine and isoleucine degradation PAO1	2	132.0 218.0
Aminobenzoate degradation PAO1	Phenazine biosynthesis PAO1	2	18.0 283.0
Cationic antimicrobial peptide (CAMP) resistance PAO1	Pentose phosphate pathway PAO1	2	217.0 245.0
Quorum sensing PAO1	Styrene degradation PAO1	2	139.0 284.0
Nitrogen metabolism PAO1	Tyrosine metabolism PAO1	2	221.0 280.0
Glycerophospholipid metabolism PAO1	Phosphonate and phosphinate metabolism PAO1	2	48.0 238.0
