pw0	pw1	weight	features
Cationic antimicrobial peptide (CAMP) resistance PAO1	Cationic antimicrobial peptide (CAMP) resistance, arnBCADTEF operon	17	8.0 23.0 38.0 39.0 40.0 43.0 163.0 212.0 217.0 231.0 237.0 241.0 242.0 244.0 282.0 284.0 296.0
Quorum sensing PAO1	Type VI secretion system	14	14.0 79.0 98.0 118.0 125.0 133.0 134.0 138.0 157.0 185.0 215.0 234.0 270.0 294.0
Ribosome PAO1	Ribosome, bacteria	13	3.0 9.0 15.0 41.0 52.0 59.0 105.0 132.0 139.0 178.0 198.0 236.0 269.0
Phenazine biosynthesis PAO1	Quorum sensing PAO1	11	16.0 35.0 98.0 100.0 125.0 133.0 180.0 185.0 199.0 220.0 270.0
Cyanoamino acid metabolism PAO1	Quorum sensing PAO1	10	14.0 35.0 98.0 124.0 125.0 133.0 138.0 185.0 220.0 294.0
Quorum sensing PAO1	Vanadium resistance, efflux pump MexGHI-OpmD	8	46.0 96.0 100.0 109.0 175.0 239.0 270.0 296.0
Tyrosine metabolism PAO1	Valine, leucine and isoleucine degradation PAO1	8	21.0 169.0 216.0 239.0 242.0 263.0 294.0 298.0
Cyanoamino acid metabolism PAO1	Type VI secretion system	7	14.0 98.0 125.0 133.0 138.0 185.0 294.0
Biosynthesis of siderophore group nonribosomal peptides PAO1	Quorum sensing PAO1	7	74.0 96.0 108.0 118.0 161.0 189.0 258.0
Putative polar amino acid transport system	Sulfur metabolism PAO1	7	6.0 10.0 95.0 240.0 252.0 271.0 287.0
Aminobenzoate degradation PAO1	Cationic antimicrobial peptide (CAMP) resistance PAO1	7	39.0 40.0 163.0 213.0 228.0 240.0 244.0
Iron complex transport system	Zinc transport system	6	68.0 70.0 107.0 147.0 166.0 174.0
Cyanoamino acid metabolism PAO1	Phenazine biosynthesis PAO1	6	35.0 98.0 125.0 133.0 185.0 220.0
Oxidative phosphorylation PAO1	Ribosome, bacteria	6	9.0 52.0 79.0 105.0 139.0 198.0
Phosphonate transport system	Type II general secretion pathway	5	22.0 117.0 209.0 253.0 279.0
Aminobenzoate degradation PAO1	Benzoate degradation PAO1	5	4.0 10.0 18.0 93.0 251.0
Biosynthesis of siderophore group nonribosomal peptides PAO1	Oxidative phosphorylation PAO1	5	96.0 108.0 181.0 246.0 264.0
Macrolide resistance, MacAB-TolC transporter	Zinc transport system	5	25.0 26.0 89.0 107.0 166.0
Glycolysis / Gluconeogenesis PAO1	Pentose phosphate pathway PAO1	5	54.0 72.0 202.0 237.0 288.0
Phosphonate and phosphinate metabolism PAO1	Type II general secretion pathway	5	22.0 117.0 209.0 253.0 279.0
Phenazine biosynthesis PAO1	Type VI secretion system	5	98.0 125.0 133.0 185.0 270.0
Phosphonate and phosphinate metabolism PAO1	Phosphonate transport system	5	22.0 117.0 209.0 253.0 279.0
Type VI secretion system	Vanadium resistance, efflux pump MexGHI-OpmD	5	2.0 76.0 112.0 219.0 270.0
Oxidative phosphorylation PAO1	Ribosome PAO1	5	9.0 52.0 105.0 139.0 198.0
Aminobenzoate degradation PAO1	Cationic antimicrobial peptide (CAMP) resistance, arnBCADTEF operon	5	39.0 40.0 163.0 244.0 288.0
Quorum sensing PAO1	Valine, leucine and isoleucine degradation PAO1	5	60.0 123.0 124.0 199.0 239.0
