pw0	pw1	weight	features
Cyanoamino acid metabolism PAO1	Quorum sensing PAO1	14	60.0 114.0 116.0 137.0 146.0 150.0 151.0 170.0 194.0 221.0 241.0 243.0 250.0 269.0
Ribosome PAO1	Ribosome, bacteria	11	22.0 37.0 38.0 49.0 68.0 125.0 186.0 213.0 242.0 244.0 245.0
Phenazine biosynthesis PAO1	Quorum sensing PAO1	10	60.0 65.0 114.0 145.0 150.0 151.0 194.0 241.0 265.0 269.0
Aminobenzoate degradation PAO1	Benzoate degradation PAO1	9	4.0 131.0 175.0 191.0 223.0 232.0 260.0 267.0 293.0
Cyanoamino acid metabolism PAO1	Phenazine biosynthesis PAO1	9	60.0 114.0 150.0 151.0 194.0 232.0 241.0 269.0 277.0
Cationic antimicrobial peptide (CAMP) resistance PAO1	Cationic antimicrobial peptide (CAMP) resistance, arnBCADTEF operon	9	51.0 79.0 127.0 250.0 251.0 266.0 283.0 293.0 296.0
Tyrosine metabolism PAO1	Valine, leucine and isoleucine degradation PAO1	9	47.0 58.0 115.0 155.0 216.0 228.0 241.0 265.0 277.0
Quorum sensing PAO1	Vanadium resistance, efflux pump MexGHI-OpmD	8	60.0 79.0 84.0 138.0 194.0 231.0 265.0 269.0
Cyanoamino acid metabolism PAO1	Type VI secretion system	8	114.0 140.0 146.0 170.0 232.0 243.0 269.0 277.0
Biosynthesis of siderophore group nonribosomal peptides PAO1	Quorum sensing PAO1	8	26.0 79.0 137.0 147.0 151.0 170.0 201.0 250.0
Quorum sensing PAO1	Type VI secretion system	8	114.0 130.0 146.0 170.0 175.0 231.0 243.0 269.0
Quorum sensing PAO1	Tyrosine metabolism PAO1	7	26.0 96.0 116.0 130.0 216.0 241.0 265.0
Aminobenzoate degradation PAO1	Biosynthesis of siderophore group nonribosomal peptides PAO1	7	131.0 190.0 201.0 232.0 253.0 262.0 293.0
Putative polar amino acid transport system	Sulfur metabolism PAO1	7	11.0 47.0 134.0 155.0 204.0 248.0 256.0
Phosphonate and phosphinate metabolism PAO1	Type II general secretion pathway	6	54.0 86.0 123.0 142.0 163.0 259.0
Glycine betaine/proline transport system	Glycine, serine and threonine metabolism PAO1	6	88.0 198.0 199.0 218.0 264.0 267.0
Phenazine biosynthesis PAO1	Type VI secretion system	6	114.0 117.0 161.0 232.0 269.0 277.0
Biosynthesis of siderophore group nonribosomal peptides PAO1	Cationic antimicrobial peptide (CAMP) resistance PAO1	6	26.0 61.0 79.0 250.0 255.0 293.0
Aminobenzoate degradation PAO1	Valine, leucine and isoleucine degradation PAO1	5	81.0 228.0 260.0 265.0 267.0
Quorum sensing PAO1	Valine, leucine and isoleucine degradation PAO1	5	84.0 151.0 216.0 241.0 265.0
Biosynthesis of siderophore group nonribosomal peptides PAO1	Cyanoamino acid metabolism PAO1	5	137.0 151.0 170.0 250.0 277.0
Phosphonate and phosphinate metabolism PAO1	Phosphonate transport system	5	54.0 86.0 123.0 142.0 183.0
Phenazine biosynthesis PAO1	Tyrosine metabolism PAO1	5	23.0 241.0 263.0 265.0 277.0
Phenazine biosynthesis PAO1	Valine, leucine and isoleucine degradation PAO1	5	82.0 151.0 241.0 265.0 277.0
Biosynthesis of siderophore group nonribosomal peptides PAO1	Zinc transport system	5	28.0 57.0 147.0 253.0 262.0
Iron complex transport system	Zinc transport system	4	28.0 43.0 57.0 192.0
Biosynthesis of siderophore group nonribosomal peptides PAO1	Iron complex transport system	4	28.0 57.0 94.0 135.0
Oxidative phosphorylation PAO1	Ribosome PAO1	4	37.0 38.0 125.0 242.0
Phenazine biosynthesis PAO1	Vanadium resistance, efflux pump MexGHI-OpmD	4	60.0 194.0 265.0 269.0
Citrate cycle (TCA cycle) PAO1	Ribosome PAO1	4	22.0 125.0 186.0 213.0
Cationic antimicrobial peptide (CAMP) resistance PAO1	Quorum sensing PAO1	4	26.0 65.0 79.0 250.0
Citrate cycle (TCA cycle) PAO1	Ribosome, bacteria	4	22.0 125.0 186.0 213.0
Bacterial chemotaxis PAO1	Flagellar assembly PAO1	4	84.0 119.0 193.0 237.0
Oxidative phosphorylation PAO1	Ribosome, bacteria	4	37.0 38.0 125.0 242.0
Aminobenzoate degradation PAO1	Nitrogen metabolism PAO1	4	34.0 124.0 272.0 293.0
Aminobenzoate degradation PAO1	Cationic antimicrobial peptide (CAMP) resistance, arnBCADTEF operon	4	40.0 42.0 223.0 293.0
Valine, leucine and isoleucine degradation PAO1	Vanadium resistance, efflux pump MexGHI-OpmD	4	81.0 84.0 89.0 265.0
Aminobenzoate degradation PAO1	Vanadium resistance, efflux pump MexGHI-OpmD	4	81.0 178.0 265.0 272.0
Phenazine biosynthesis PAO1	Type III secretion system	4	48.0 65.0 263.0 270.0
