p-value	side	q-value	pathway	feature
0.000865031196062711	pos	0.02422087348975591	RB 1PATHWAY	0.0
4.9203459382839165e-05	pos	0.0019287756078072951	FOXO	0.0
5.576242538558701e-07	pos	2.7323588438937638e-05	FAK	0.0
3.666084279973146e-07	pos	2.463782756565253e-05	PDGFRB	0.0
1.0748623840432373e-07	pos	2.106730272724745e-05	VEGFR1 2	0.0
3.771096055967224e-07	pos	2.463782756565253e-05	SMAD2 3NUCLEAR	0.0
7.69294813679942e-05	pos	0.002513029724687811	TGFBR	0.0
1.4739123038374634e-06	pos	4.814780192535714e-05	FAK	1.0
8.450348509875206e-09	pos	5.520894359785135e-07	TNF	1.0
0.0013203919618620394	pos	0.023733576873263527	EPHB FWD	1.0
8.293173168335387e-08	pos	4.06365485248434e-06	LYSOPHOSPHOLIPID	1.0
0.0013203919618620394	pos	0.023733576873263527	RHOA	1.0
0.00018219349708860062	pos	0.004463740678670716	NECTIN	1.0
7.44679277849797e-07	pos	2.919142769171204e-05	ERBB1 DOWNSTREAM	1.0
0.001331986457172953	pos	0.023733576873263527	P53 DOWNSTREAM	1.0
7.161467957726633e-09	pos	5.520894359785135e-07	A6B1 A6B4 INTEGRIN	1.0
1.5502274009722989e-13	pos	3.038445705905706e-11	ECADHERIN STABILIZATION	1.0
0.0001578088728287494	pos	0.004418648439204984	LIS1	1.0
7.130322860158622e-10	pos	1.39754328059109e-07	LYSOPHOSPHOLIPID	2.0
0.00035675623820121533	pos	0.017481055671859553	ERA GENOMIC	2.0
0.00010589501019239733	pos	0.006918473999236625	REELIN	2.0
2.3451711298842077e-06	pos	0.00022982677072865237	CDC42 REG	2.0
0.0008696804388239484	pos	0.03409147320189877	RAS	2.0
0.0009049712572418805	pos	0.025339195202772658	FAK	3.0
4.5916914598444904e-11	pos	8.999715261295201e-09	CXCR4	3.0
6.139539120179995e-06	pos	0.0003008374168888198	INTEGRIN1	3.0
8.622185587696855e-05	pos	0.0033798967503771674	VEGFR1 2	3.0
0.00030286023390990133	pos	0.009893434307723444	TOLL ENDOGENOUS	3.0
1.503888410910376e-07	pos	9.825404284614458e-06	SMAD2 3NUCLEAR	3.0
8.424268801038581e-10	pos	8.25578342501781e-08	TCPTP	3.0
4.524198822465036e-05	pos	0.004433714846015736	MTOR 4PATHWAY	4.0
4.839749781962352e-06	pos	0.000948590957264621	IGF1	4.0
2.541584081414039e-09	pos	4.981504799571517e-07	CXCR4	5.0
0.0002074346334935018	pos	0.00813143763294527	WNT CANONICAL	5.0
0.00045993812785613346	pos	0.015024645509967027	ANGIOPOIETIN RECEPTOR	5.0
5.22093751677373e-07	pos	5.116518766438256e-05	INTEGRIN1	5.0
9.585588735051679e-05	pos	0.0046969384801753234	IL12 2PATHWAY	5.0
6.412391021041364e-05	pos	0.004189428800413691	VEGFR1 2	5.0
0.0004670900694204186	pos	0.045774826803201024	CXCR4	6.0
6.841134049941073e-06	pos	0.0013408622737884504	SMAD2 3NUCLEAR	6.0
0.0007314725829755709	pos	0.047789542087737294	ATM	6.0
0.0006487912982032853	pos	0.04238769814928131	HIF1 TFPATHWAY	7.0
7.344669922314315e-06	pos	0.001439555304773606	HNF3B	7.0
0.00014098530189401192	pos	0.01381655958561317	A6B1 A6B4 INTEGRIN	7.0
0.0007281517052276883	pos	0.04757257807487564	NECTIN	8.0
3.6749670749703877e-07	pos	7.20293546694196e-05	FGF	8.0
0.0007281517052276883	pos	0.04757257807487564	HDAC CLASSIII	8.0
0.0002074749543666111	pos	0.013555030351951925	RAC1	9.0
2.125900207351997e-05	pos	0.002083382203204957	HNF3B	9.0
4.5923091011698836e-07	pos	9.000925838292973e-05	A6B1 A6B4 INTEGRIN	9.0
