p-value	side	q-value	pathway	feature
3.495391173204111e-13	neg	1.3002855164319294e-10	Valine, leucine and isoleucine degradation PAO1	1.0
0.0002479495379170667	neg	0.03074574270171627	Propanoate metabolism PAO1	1.0
8.283025592433063e-05	neg	0.015406427601925496	Styrene degradation PAO1	1.0
4.1840364284262903e-05	pos	0.00311292310274916	Arginine biosynthesis PAO1	2.0
0.0005529401369588064	pos	0.02938481870695371	Valine, leucine and isoleucine degradation PAO1	2.0
0.0002024766930161744	pos	0.012553554967002814	Aminobenzoate degradation PAO1	2.0
7.0706864826554415e-06	pos	0.0008725446540710111	Glyoxylate and dicarboxylate metabolism PAO1	2.0
2.773736563334958e-07	neg	5.1591500078030216e-05	Quorum sensing PAO1	2.0
1.4264874030634525e-07	neg	5.1591500078030216e-05	Cationic antimicrobial peptide (CAMP) resistance, arnBCADTEF operon	2.0
9.382200581408722e-06	neg	0.0008725446540710111	Oxidative phosphorylation PAO1	2.0
6.376348187303009e-06	pos	0.0007906671752255731	Arginine biosynthesis PAO1	3.0
2.4910605769650476e-08	pos	4.633372673154988e-06	Ribosome PAO1	3.0
0.00013934972467269635	pos	0.012959524394560759	F-type ATPase, prokaryotes and chloroplasts	3.0
2.5892692976405413e-16	pos	9.632081787222813e-14	Ribosome, bacteria	3.0
5.797301022302211e-09	pos	1.078297990148211e-06	NADH:quinone oxidoreductase, prokaryotes	8.0
5.990335692438971e-11	neg	2.228404877587297e-08	Biosynthesis of siderophore group nonribosomal peptides PAO1	8.0
8.697216823374073e-06	neg	0.001078454886098385	Iron complex transport system	8.0
0.00021561088659083997	neg	0.04710255346440347	Flagellar assembly PAO1	9.0
0.0002532395347548574	neg	0.04710255346440347	Amino sugar and nucleotide sugar metabolism PAO1	9.0
2.3494912303121596e-05	neg	0.004370053688380617	Aminobenzoate degradation PAO1	10.0
4.8831720344847116e-14	neg	1.8165399968283127e-11	Pentose phosphate pathway PAO1	10.0
0.00012284863839443766	pos	0.01523323116091027	Degradation of aromatic compounds PAO1	11.0
4.5042622018826014e-05	pos	0.008377927695501637	Aminobenzoate degradation PAO1	11.0
1.054956405742225e-11	pos	3.924437829361077e-09	Biosynthesis of siderophore group nonribosomal peptides PAO1	11.0
1.102827059974665e-06	neg	0.00041025166631057533	Aminobenzoate degradation PAO1	12.0
4.795214688312506e-05	neg	0.00891909932026126	Zinc transport system	12.0
0.0002362081296167262	neg	0.029289808072474048	Nitrogen metabolism PAO1	12.0
9.55140398658514e-05	neg	0.03553122283009672	Cationic antimicrobial peptide (CAMP) resistance PAO1	14.0
4.567032934494418e-05	pos	0.0056631208387730786	Fatty acid biosynthesis PAO1	15.0
0.0002839616067805872	neg	0.02640842943059461	Vanadium resistance, efflux pump MexGHI-OpmD	15.0
7.681049536779003e-16	neg	2.857350427681789e-13	Starch and sucrose metabolism PAO1	15.0
1.7104967854235298e-08	neg	3.181524020887765e-06	Quorum sensing PAO1	15.0
1.8705385260934294e-09	pos	6.958403317067557e-07	Vanadium resistance, efflux pump MexGHI-OpmD	16.0
4.743181066199724e-08	pos	8.822316783131486e-06	Pentose phosphate pathway PAO1	16.0
0.00017775087002531932	neg	0.022041107883139597	Type VI secretion system	17.0
0.0001754702127463645	neg	0.022041107883139597	Vanadium resistance, efflux pump MexGHI-OpmD	17.0
1.0391916195919268e-14	neg	3.8657928248819675e-12	Quorum sensing PAO1	17.0
1.365361063237203e-07	neg	5.079143155242395e-05	Phenazine biosynthesis PAO1	18.0
2.285495694128781e-05	neg	0.0042510219910795325	Bacterial chemotaxis PAO1	18.0
8.511007901526962e-10	pos	1.5830474696840148e-07	Quorum sensing PAO1	19.0
4.430678496563839e-11	neg	1.648212400721748e-08	Biosynthesis of siderophore group nonribosomal peptides PAO1	19.0
9.167150834701975e-05	neg	0.017050900552545673	Fructose and mannose metabolism PAO1	20.0
3.3244565948153615e-06	neg	0.0012366978532713144	Nitrogen metabolism PAO1	20.0
6.645736865342135e-05	pos	0.014568439941873254	Flagellar assembly PAO1	21.0
7.832494592404976e-05	pos	0.014568439941873254	Amino sugar and nucleotide sugar metabolism PAO1	21.0
6.358212301636627e-12	pos	2.365254976208825e-09	Cationic antimicrobial peptide (CAMP) resistance, arnBCADTEF operon	22.0
6.705648090170554e-11	neg	1.2472505447717229e-08	Tyrosine metabolism PAO1	22.0
1.2147962309157652e-12	pos	4.519041979006646e-10	Biosynthesis of siderophore group nonribosomal peptides PAO1	24.0
0.00012635667702884528	pos	0.01175117096368261	Zinc transport system	25.0
2.7432506323811673e-10	pos	1.0204892352457942e-07	Biosynthesis of siderophore group nonribosomal peptides PAO1	25.0
5.154923273515676e-07	pos	6.392104859159438e-05	Iron complex transport system	25.0
3.813942729272896e-07	neg	6.392104859159438e-05	Glycine, serine and threonine metabolism PAO1	25.0
1.317603878989498e-36	pos	4.901486429840932e-34	Type III secretion system	26.0
3.22225936772297e-05	pos	0.002996701211982362	Ribosome, bacteria	27.0
4.411861613895654e-12	pos	1.6412125203691831e-09	Sulfur metabolism PAO1	27.0
