p-value	side	q-value	pathway	feature
0.00011888577909139124	neg	0.022112754910998768	Ribosome, bacteria	0.0
5.018384478069545e-06	neg	0.0018668390258418704	Citrate cycle (TCA cycle) PAO1	0.0
0.000102814713497224	neg	0.01912353671048366	Aminobenzoate degradation PAO1	2.0
0.00030877820110458026	neg	0.03828849693696795	Vanadium resistance, efflux pump MexGHI-OpmD	2.0
1.1356292571886386e-15	neg	4.224540836741735e-13	Starch and sucrose metabolism PAO1	2.0
2.1769132479677894e-05	pos	0.002024529320610044	Pentose phosphate pathway PAO1	3.0
1.2343332255390363e-05	pos	0.001530573199668405	Ribosome, bacteria	3.0
5.790650514239986e-06	neg	0.0010770609956486372	Glycine, serine and threonine metabolism PAO1	3.0
1.0774785403888079e-07	neg	4.008220170246365e-05	Tyrosine metabolism PAO1	3.0
1.1902787512353418e-37	pos	4.427836954595471e-35	Type III secretion system	4.0
3.1553055055259053e-10	neg	5.8688682402781837e-08	Nitrogen metabolism PAO1	4.0
6.248416903194361e-05	pos	0.023244110879883022	Spermidine/putrescine transport system	5.0
2.147944475104606e-05	pos	0.007990353447389133	Bacterial chemotaxis PAO1	6.0
9.802455740840159e-06	pos	0.0036465135355925387	Zinc transport system	7.0
0.00011919204726027357	neg	0.022169720790410883	Phenylalanine metabolism PAO1	7.0
3.39057383820612e-08	pos	1.2612934678126765e-05	Quorum sensing PAO1	8.0
1.2706557290584394e-05	neg	0.002363419656048697	Zinc transport system	8.0
7.436222708446884e-05	neg	0.009220916158474136	Iron complex transport system	8.0
4.20640226837406e-06	pos	0.0005215938812783835	Glycine, serine and threonine metabolism PAO1	9.0
2.2855762417075704e-08	pos	8.454919945449627e-06	Valine, leucine and isoleucine degradation PAO1	9.0
4.545655884650338e-08	pos	8.454919945449627e-06	Tyrosine metabolism PAO1	9.0
2.992879187173116e-05	pos	0.002226702115256798	Aminobenzoate degradation PAO1	9.0
2.5347187235810657e-05	pos	0.002226702115256798	Amino sugar and nucleotide sugar metabolism PAO1	9.0
0.0001351270057432206	pos	0.008377874356079677	Branched-chain amino acid transport system	9.0
0.00027165638616306165	neg	0.014436596521808419	Glycerolipid metabolism PAO1	9.0
2.8193325991178694e-09	pos	5.243958634359236e-07	Fructose and mannose metabolism PAO1	10.0
1.0751383600429035e-08	neg	1.3331715664532003e-06	Vanadium resistance, efflux pump MexGHI-OpmD	10.0
6.950258599841764e-12	neg	2.5854961991411357e-09	Biosynthesis of siderophore group nonribosomal peptides PAO1	10.0
1.441806866153282e-06	pos	0.000178784051403007	Type VI secretion system	11.0
1.8496048008555026e-09	pos	3.440264929591235e-07	Peptidoglycan biosynthesis PAO1	11.0
0.0007821344706049379	pos	0.041564860437862415	Glutamate/aspartate transport system	11.0
1.1191355244029964e-21	pos	4.163184150779146e-19	Sulfur metabolism PAO1	11.0
3.159185520580935e-05	neg	0.0023504340273122156	Glycine, serine and threonine metabolism PAO1	11.0
2.4717690546271453e-06	neg	0.0002298745220803245	Glycine betaine/proline transport system	11.0
0.0003425590038902767	neg	0.021238658241197157	Methane metabolism PAO1	11.0
1.5094687138731298e-08	pos	5.6152236156080424e-06	Denitrification, nitrate => nitrogen	12.0
0.0003215762877062232	neg	0.029906594756678756	Cytochrome c oxidase, cbb3-type	13.0
0.0003215762877062232	neg	0.029906594756678756	Vanadium resistance, efflux pump MexGHI-OpmD	13.0
0.0003215762877062232	neg	0.029906594756678756	Phenazine biosynthesis PAO1	13.0
2.7676221755270194e-10	neg	1.0295554492960512e-07	Quorum sensing PAO1	13.0
4.849052568614683e-09	pos	1.8038475555246622e-06	Fructose and mannose metabolism PAO1	14.0
0.00040305128344025263	pos	0.04997835914659133	Phenylalanine metabolism PAO1	14.0
1.4981964363192332e-08	neg	2.7866453715537737e-06	Nitrogen metabolism PAO1	14.0
2.508650260559882e-07	pos	3.110726323094254e-05	Cationic antimicrobial peptide (CAMP) resistance, arnBCADTEF operon	15.0
2.4688347443967258e-08	pos	4.592032624577909e-06	Cationic antimicrobial peptide (CAMP) resistance PAO1	15.0
1.205623081267861e-10	neg	4.484917862316442e-08	Tyrosine metabolism PAO1	15.0
4.9875735753395186e-05	neg	0.004638443425065752	Type III secretion system	15.0
4.812063555298368e-08	pos	8.950438212854964e-06	Type VI secretion system	16.0
0.00010738699062189622	pos	0.006657993418557565	Phenazine biosynthesis PAO1	16.0
1.502372036401467e-16	pos	5.5888239754134564e-14	Quorum sensing PAO1	16.0
1.0841304263282322e-06	pos	0.0001344321728647008	Cyanoamino acid metabolism PAO1	16.0
3.0966646360712947e-05	neg	0.002303918489237043	Tyrosine metabolism PAO1	16.0
1.1192193988402919e-05	neg	0.0010408740409214713	Biosynthesis of siderophore group nonribosomal peptides PAO1	16.0
3.3141784607717334e-35	neg	1.2328743874070848e-32	Type III secretion system	17.0
2.4700015870778576e-06	neg	0.00045942029519648145	Denitrification, nitrate => nitrogen	17.0
1.8509999573817142e-06	pos	0.00017214299603649942	Arginine biosynthesis PAO1	18.0
1.0353033689766226e-06	neg	0.00012837761775310122	Type III secretion system	18.0
4.020719595070498e-07	neg	7.478538446831126e-05	Benzoate degradation PAO1	18.0
2.385061470138433e-06	neg	0.00017744857337829943	Aminobenzoate degradation PAO1	18.0
6.6540809724398985e-09	neg	2.475318121747642e-06	Phenazine biosynthesis PAO1	18.0
0.00027194309905823207	neg	0.016860472141610388	Cationic antimicrobial peptide (CAMP) resistance, arnBCADTEF operon	18.0
9.739465717467764e-07	pos	0.00012076937489660028	Cationic antimicrobial peptide (CAMP) resistance, arnBCADTEF operon	19.0
3.747541454363333e-09	pos	6.970427105115799e-07	Cationic antimicrobial peptide (CAMP) resistance PAO1	19.0
6.661019857614273e-10	neg	2.477899387032509e-07	Quorum sensing PAO1	19.0
4.55810272505118e-36	pos	1.695614213719039e-33	Type III secretion system	21.0
3.224748835705e-07	pos	5.9980328344113e-05	Phenazine biosynthesis PAO1	21.0
4.950438399192881e-06	neg	0.0006138543614999173	Aminobenzoate degradation PAO1	21.0
0.00014403101900030603	pos	0.017859846356037948	Amino sugar and nucleotide sugar metabolism PAO1	22.0
2.234085469390232e-05	neg	0.004155398973065831	Iron(III) transport system	22.0
3.173114514469204e-11	neg	1.1803985993825437e-08	Biosynthesis of siderophore group nonribosomal peptides PAO1	22.0
0.00048084824221091097	pos	0.04985616953474036	Folate biosynthesis PAO1	23.0
2.3725015244300557e-06	neg	0.0008825705670879807	Cytochrome c oxidase, cbb3-type	23.0
0.0005360878444595739	neg	0.04985616953474036	Arginine biosynthesis PAO1	23.0
0.0003508634603710287	neg	0.04985616953474036	Glyoxylate and dicarboxylate metabolism PAO1	23.0
2.195774448678622e-05	pos	0.0027227603163614915	Tyrosine metabolism PAO1	24.0
0.0001359952648232725	pos	0.008431706419042895	Styrene degradation PAO1	24.0
1.8446986915326917e-12	pos	6.862279132501613e-10	Phenazine biosynthesis PAO1	24.0
0.0001614377929191841	neg	0.008579265566562355	Macrolide resistance, MacAB-TolC transporter	24.0
2.2394107208657084e-06	neg	0.00041653039408102175	Benzoate degradation PAO1	24.0
3.906567890705579e-05	neg	0.0029064865106849507	Aminobenzoate degradation PAO1	24.0
0.000952635424318367	neg	0.04429754723080406	Styrene degradation PAO1	24.0
3.906567890705579e-05	neg	0.0029064865106849507	Zinc transport system	24.0
1.6385485358084286e-05	pos	0.003047700276603677	Glycine, serine and threonine metabolism PAO1	25.0
0.00021574845484290274	pos	0.020064606300389955	Vanadium resistance, efflux pump MexGHI-OpmD	25.0
7.05976759262667e-14	pos	2.6262335444571208e-11	Starch and sucrose metabolism PAO1	25.0
3.654728775844849e-05	pos	0.004531863682047613	Quorum sensing PAO1	25.0
0.00036787588170672573	pos	0.027369965598980393	Tyrosine metabolism PAO1	26.0
2.9718482094179987e-07	pos	0.00011055275339034954	Propanoate metabolism PAO1	26.0
0.0003610411381263758	pos	0.027369965598980393	Oxidative phosphorylation PAO1	26.0
0.0007501420417038876	pos	0.046508806585641035	Methane metabolism PAO1	26.0
6.723867833857374e-05	neg	0.008337596113983145	Vanadium resistance, efflux pump MexGHI-OpmD	26.0
5.952477013240723e-06	neg	0.0011071607244627743	Quorum sensing PAO1	26.0
0.00014383495904203033	pos	0.01337665119090882	Putative polar amino acid transport system	27.0
0.00012090465248841531	pos	0.01337665119090882	Nitrogen metabolism PAO1	27.0
0.0007741528436386103	pos	0.04114069397622329	Glycerolipid metabolism PAO1	27.0
0.0006031759848726885	pos	0.037396911062106686	Sulfur relay system PAO1	27.0
