p-value	side	q-value	pathway	feature
4.970092972334543e-11	pos	1.8488745857084498e-08	Pentose phosphate pathway PAO1	1.0
0.00019006982634414183	neg	0.03535298770001038	Propanoate metabolism PAO1	1.0
0.0001284789833163733	pos	0.0377165367321489	Type VI secretion system	2.0
0.0002027770792051016	neg	0.0377165367321489	Arginine biosynthesis PAO1	2.0
9.420064266009422e-24	neg	1.7521319534777522e-21	Ribosome PAO1	3.0
3.825020226928448e-35	neg	1.4229075244173826e-32	Ribosome, bacteria	3.0
1.317692815716865e-07	neg	1.6339390914889127e-05	Oxidative phosphorylation PAO1	3.0
4.559348875515601e-06	pos	0.0008480388908459017	Denitrification, nitrate => nitrogen	4.0
8.79000489515866e-05	pos	0.010899606069996738	Biosynthesis of siderophore group nonribosomal peptides PAO1	4.0
1.5187919695504856e-06	neg	0.0005649906126727806	Tyrosine metabolism PAO1	4.0
3.0208681572402635e-05	neg	0.00561881477246689	Denitrification, nitrate => nitrogen	5.0
5.718790373398802e-10	neg	2.127390018904354e-07	Quorum sensing PAO1	5.0
5.0672627153707675e-05	neg	0.018850217301179254	NADH:quinone oxidoreductase, prokaryotes	7.0
6.400663218802973e-05	pos	0.007936822391315688	Aminobenzoate degradation PAO1	8.0
6.386195392377099e-16	pos	1.1878323429821402e-13	Phenazine biosynthesis PAO1	8.0
3.4712042992432334e-37	neg	1.2912879993184828e-34	Type III secretion system	8.0
0.00010400532511094059	pos	0.038689980941269894	Amino sugar and nucleotide sugar metabolism PAO1	9.0
0.00039661075483767347	pos	0.03688480019990363	Macrolide resistance, MacAB-TolC transporter	10.0
0.00014914546461161922	pos	0.018494037611840784	Zinc transport system	10.0
3.8559397471870507e-10	pos	1.4344095859535828e-07	Biosynthesis of siderophore group nonribosomal peptides PAO1	10.0
6.810897214967349e-07	pos	0.00012668268819839267	Iron complex transport system	10.0
1.7400044519595016e-11	pos	6.472816561289346e-09	Tyrosine metabolism PAO1	11.0
6.944673617501971e-10	neg	1.2917092928553665e-07	Cationic antimicrobial peptide (CAMP) resistance, arnBCADTEF operon	11.0
4.9877332890397895e-05	neg	0.006184789278409339	Cationic antimicrobial peptide (CAMP) resistance PAO1	11.0
4.182985737992208e-06	neg	0.0005186902315110338	Ribosome PAO1	12.0
1.5358782977027028e-14	neg	5.713467267454054e-12	Ribosome, bacteria	12.0
1.307695941489883e-05	neg	0.001216157225585591	Citrate cycle (TCA cycle) PAO1	12.0
1.2323909586488624e-07	neg	2.2922471830868838e-05	Oxidative phosphorylation PAO1	12.0
8.952164130488356e-05	pos	0.006660410113083336	Phenazine biosynthesis PAO1	13.0
9.435062272635893e-16	pos	3.509843165420552e-13	Quorum sensing PAO1	13.0
3.270043471077708e-06	pos	0.0004054853904136358	Cyanoamino acid metabolism PAO1	13.0
1.1533302407732903e-08	neg	2.1451942478383197e-06	Denitrification, nitrate => nitrogen	13.0
9.679109454349775e-06	neg	0.000900157179254529	Sulfur metabolism PAO1	13.0
5.593478458890062e-05	pos	0.010403869933535514	Phenazine biosynthesis PAO1	14.0
1.705658476802898e-17	pos	6.34504953370678e-15	Quorum sensing PAO1	14.0
0.000506900696222072	neg	0.04714176474865269	Aminobenzoate degradation PAO1	14.0
0.0004032330711188624	neg	0.04714176474865269	Nitrogen metabolism PAO1	14.0
5.778733945517224e-13	pos	2.1496890277324072e-10	Sulfur metabolism PAO1	15.0
2.326537257825258e-05	neg	0.00288490619970332	Iron(III) transport system	15.0
3.6862456327647724e-06	neg	0.0006856416876942476	Tyrosine metabolism PAO1	15.0
6.821315193768356e-06	pos	0.0012687646260409141	Leucine degradation, leucine => acetoacetate + acetyl-CoA	16.0
1.0493053926781303e-12	neg	3.9034160607626443e-10	Biosynthesis of siderophore group nonribosomal peptides PAO1	16.0
5.746663764677529e-05	neg	0.007125863068200136	Oxidative phosphorylation PAO1	16.0
2.882151786247339e-05	neg	0.00536080232242005	Glycine, serine and threonine metabolism PAO1	17.0
0.0003558996890674133	neg	0.03309867108326943	Tyrosine metabolism PAO1	17.0
1.5118640383366065e-06	neg	0.0005624134222612176	Type VI secretion system	17.0
8.79000489515866e-05	neg	0.010899606069996738	Zinc transport system	17.0
3.1686229280020345e-05	pos	0.011787277292167567	Ribosome PAO1	18.0
0.0001581397708969782	pos	0.029413997386837944	Glyoxylate and dicarboxylate metabolism PAO1	19.0
6.13051684988881e-08	neg	2.2805522681586373e-05	Quorum sensing PAO1	19.0
1.7921941600467466e-10	pos	6.666962275373897e-08	Phenazine biosynthesis PAO1	20.0
2.8750265948838416e-05	neg	0.005347549466483945	Flagellar assembly PAO1	20.0
1.9828222082232268e-17	pos	7.376098614590403e-15	Starch and sucrose metabolism PAO1	22.0
2.464005134765222e-08	neg	4.583049550663313e-06	Nitrogen metabolism PAO1	22.0
2.024817472868101e-09	pos	3.766160499534667e-07	Valine, leucine and isoleucine degradation PAO1	23.0
1.0901568829759103e-06	pos	0.0001351794534890129	Tyrosine metabolism PAO1	23.0
1.4014699272820888e-12	neg	5.21346812948937e-10	Biosynthesis of siderophore group nonribosomal peptides PAO1	23.0
