p-value	side	q-value	pathway	feature
2.7317398623397653e-05	pos	0.005081036143951963	Amino sugar and nucleotide sugar metabolism PAO1	2.0
2.6899896212117245e-05	neg	0.005081036143951963	Quorum sensing PAO1	2.0
9.03101796488179e-05	neg	0.03359538682936025	Protein export PAO1	3.0
8.161969447886368e-05	pos	0.015181263173068643	Benzoate degradation PAO1	4.0
4.6078151551362587e-05	pos	0.015181263173068643	Aminobenzoate degradation PAO1	4.0
4.210853674760344e-07	pos	7.832187835054239e-05	Tyrosine metabolism PAO1	7.0
1.6258045879935897e-06	pos	0.00020159976891120514	Propanoate metabolism PAO1	7.0
6.146821483903889e-12	neg	2.2866175920122466e-09	Quorum sensing PAO1	7.0
0.0004023116098522258	pos	0.037414979716257	Type II general secretion pathway	8.0
4.63970094112375e-05	pos	0.008629843750490173	Benzoate degradation PAO1	8.0
0.0001351270057432206	pos	0.016755748712159353	Styrene degradation PAO1	8.0
5.016592972551846e-07	neg	0.00018661725857892865	Flagellar assembly PAO1	8.0
8.532120538910293e-06	pos	0.0015869744202373145	Aminobenzoate degradation PAO1	9.0
2.842715613774998e-05	neg	0.0035249673610809975	Glycine, serine and threonine metabolism PAO1	9.0
6.185668277589736e-05	neg	0.005752671498158454	Type VI secretion system	9.0
3.2161004568665637e-19	neg	1.1963893699543616e-16	Sulfur metabolism PAO1	9.0
7.328041465305393e-05	neg	0.02726031425093606	Cytochrome c oxidase, cbb3-type	10.0
5.757970168532162e-09	pos	1.070982451346982e-06	Putative polar amino acid transport system	11.0
8.499652453899588e-34	pos	3.1618707128506464e-31	Sulfur metabolism PAO1	11.0
1.2170729325101834e-06	pos	0.0002263755654468941	Spermidine/putrescine transport system	13.0
6.631317510424835e-08	neg	2.4668501138780384e-05	Valine, leucine and isoleucine degradation PAO1	13.0
3.7884645349992576e-10	neg	1.4093088070197238e-07	Pyocyanine biosynthesis, chorismate => pyocyanine	14.0
2.111359464737823e-05	neg	0.0026180857362749005	Cytochrome c oxidase, cbb3-type	14.0
0.00020931459495879167	neg	0.019466257331167625	Arginine biosynthesis PAO1	14.0
9.135141004839924e-08	neg	1.6991362269002256e-05	Phenazine biosynthesis PAO1	14.0
6.748685482237909e-10	pos	1.255255499696251e-07	Cationic antimicrobial peptide (CAMP) resistance PAO1	15.0
6.168211942610922e-16	neg	2.294574842651263e-13	Tyrosine metabolism PAO1	15.0
0.0001534214390910158	neg	0.011414555068371576	Fructose and mannose metabolism PAO1	15.0
1.8165807795605217e-05	neg	0.0022525601666550468	Spermidine/putrescine transport system	15.0
0.00012272947559595948	neg	0.011413841230424231	Oxidative phosphorylation PAO1	15.0
1.5857848573280908e-05	pos	0.0029495598346302486	Glycine, serine and threonine metabolism PAO1	16.0
0.0002570007024821363	pos	0.0318680871077849	Cationic antimicrobial peptide (CAMP) resistance PAO1	16.0
2.1235005386175885e-07	neg	7.899422003657428e-05	Fructose and mannose metabolism PAO1	16.0
3.246851324785931e-16	pos	1.2078286928203663e-13	Bacterial secretion system PAO1	17.0
7.764869854113887e-07	pos	9.62843861910122e-05	Type III secretion system	17.0
2.7614329422196744e-08	neg	5.136265272528594e-06	Type VI secretion system	17.0
1.147623848739643e-05	neg	0.001067290179327868	Bacterial secretion system PAO1	17.0
0.00017512272603710313	pos	0.03257282704290118	gamma-Hexachlorocyclohexane transport system	18.0
1.0617406940209463e-17	pos	3.94967538175792e-15	Cationic antimicrobial peptide (CAMP) resistance PAO1	18.0
1.59509795426097e-05	neg	0.005933764389850807	Amino sugar and nucleotide sugar metabolism PAO1	20.0
3.7299041055752286e-06	neg	0.0006937621636369924	Glycine, serine and threonine metabolism PAO1	21.0
3.2864667543076165e-12	neg	1.2225656326024333e-09	Type VI secretion system	21.0
0.00010598417505802253	neg	0.013142037707194795	Zinc transport system	21.0
3.8174196346861796e-13	pos	7.100400520516294e-11	Ribosome PAO1	22.0
1.3355902004161391e-18	pos	4.968395545548037e-16	Ribosome, bacteria	22.0
4.743016384199046e-05	pos	0.005881340316406818	Citrate cycle (TCA cycle) PAO1	22.0
1.3774612861634382e-13	pos	5.12415598452799e-11	Tyrosine metabolism PAO1	23.0
8.08965494066942e-11	pos	1.504675818964512e-08	Phenazine biosynthesis PAO1	23.0
2.1907233304156578e-08	neg	2.716496929715416e-06	Denitrification, nitrate => nitrogen	23.0
4.074751613946888e-05	pos	0.005052692001294141	Phospholipid transport system	25.0
2.857514003330351e-15	pos	1.0629952092388904e-12	Cationic antimicrobial peptide (CAMP) resistance PAO1	25.0
3.850187563481892e-09	neg	7.161348868076318e-07	Tyrosine metabolism PAO1	25.0
0.00036757641944649494	pos	0.022789738005682687	Glyoxylate and dicarboxylate metabolism PAO1	26.0
0.0001754702127463645	neg	0.013054983828329519	Denitrification, nitrate => nitrogen	26.0
5.76161173077284e-06	neg	0.0005358298909618741	Tyrosine metabolism PAO1	26.0
1.8106950789811475e-06	neg	0.0002245261897936623	Quorum sensing PAO1	26.0
3.173114514469204e-11	neg	5.901992996912719e-09	Biosynthesis of siderophore group nonribosomal peptides PAO1	26.0
7.976133135661836e-15	neg	2.9671215264662027e-12	Cationic antimicrobial peptide (CAMP) resistance PAO1	26.0
0.00021574845484290274	pos	0.02675280840051994	Cysteine biosynthesis, serine => cysteine	27.0
6.645736865342135e-05	pos	0.014568439941873254	Flagellar assembly PAO1	27.0
7.832494592404976e-05	pos	0.014568439941873254	Amino sugar and nucleotide sugar metabolism PAO1	27.0
0.00011251440027936192	pos	0.008371071380784526	Zinc transport system	28.0
2.1616352323579373e-10	pos	8.041283064371526e-08	Biosynthesis of siderophore group nonribosomal peptides PAO1	28.0
4.2414895141214993e-07	pos	3.944585248132994e-05	Iron complex transport system	28.0
1.3133764630572637e-08	neg	1.628586814191007e-06	Aminobenzoate degradation PAO1	28.0
9.777436825034367e-10	neg	1.8186032494563923e-07	Glyoxylate and dicarboxylate metabolism PAO1	28.0
8.449390564269217e-05	pos	0.01571586644954074	Selenocompound metabolism PAO1	29.0
4.641614391168146e-12	neg	1.72668055351455e-09	Pentose phosphate pathway PAO1	29.0
1.5988889145218901e-06	pos	0.000594786676202143	Tyrosine metabolism PAO1	30.0
1.2447594766565498e-05	pos	0.002315252626581182	Dipeptide transport system	30.0
4.5229720325275424e-05	pos	0.005608485320334152	Glycine, serine and threonine metabolism PAO1	30.0
