pw0	pw1	weight	features
Ribosome PAO1	Ribosome, bacteria	25	0.0 5.0 6.0 8.0 12.0 18.0 19.0 21.0 31.0 34.0 54.0 59.0 63.0 78.0 83.0 86.0 104.0 130.0 150.0 194.0 217.0 240.0 270.0 285.0 294.0
Oxidative phosphorylation PAO1	Ribosome, bacteria	15	0.0 5.0 6.0 18.0 21.0 31.0 54.0 59.0 78.0 150.0 194.0 260.0 273.0 293.0 294.0
Tyrosine metabolism PAO1	Valine, leucine and isoleucine degradation PAO1	14	32.0 38.0 82.0 105.0 151.0 163.0 173.0 198.0 229.0 234.0 246.0 253.0 255.0 281.0
Oxidative phosphorylation PAO1	Ribosome PAO1	12	0.0 5.0 6.0 18.0 21.0 31.0 54.0 59.0 78.0 150.0 194.0 294.0
Citrate cycle (TCA cycle) PAO1	Ribosome, bacteria	12	0.0 5.0 6.0 8.0 21.0 31.0 59.0 72.0 116.0 117.0 150.0 294.0
Cyanoamino acid metabolism PAO1	Quorum sensing PAO1	11	7.0 37.0 70.0 73.0 146.0 158.0 163.0 170.0 219.0 241.0 259.0
Bacterial chemotaxis PAO1	Flagellar assembly PAO1	11	24.0 41.0 50.0 76.0 187.0 232.0 237.0 241.0 248.0 294.0 298.0
Quorum sensing PAO1	Valine, leucine and isoleucine degradation PAO1	11	146.0 149.0 151.0 163.0 201.0 230.0 255.0 256.0 259.0 261.0 295.0
Quorum sensing PAO1	Type VI secretion system	11	7.0 44.0 70.0 73.0 149.0 159.0 170.0 201.0 258.0 259.0 287.0
Dipeptide transport system	Valine, leucine and isoleucine degradation PAO1	11	35.0 82.0 149.0 151.0 173.0 190.0 198.0 201.0 227.0 229.0 255.0
Citrate cycle (TCA cycle) PAO1	Ribosome PAO1	9	0.0 5.0 6.0 8.0 21.0 31.0 59.0 150.0 294.0
Arginine biosynthesis PAO1	Valine, leucine and isoleucine degradation PAO1	9	61.0 82.0 102.0 105.0 128.0 151.0 234.0 255.0 291.0
Type VI secretion system	Valine, leucine and isoleucine degradation PAO1	9	82.0 149.0 173.0 201.0 227.0 253.0 259.0 281.0 291.0
RNA degradation PAO1	Ribosome, bacteria	9	0.0 5.0 8.0 21.0 31.0 63.0 77.0 194.0 293.0
Citrate cycle (TCA cycle) PAO1	Oxidative phosphorylation PAO1	9	0.0 5.0 6.0 21.0 31.0 59.0 150.0 256.0 294.0
Cyanoamino acid metabolism PAO1	Type VI secretion system	8	7.0 70.0 73.0 152.0 170.0 179.0 259.0 291.0
Arginine biosynthesis PAO1	Propanoate metabolism PAO1	8	61.0 88.0 119.0 128.0 151.0 175.0 216.0 234.0
Glyoxylate and dicarboxylate metabolism PAO1	Valine, leucine and isoleucine degradation PAO1	8	32.0 102.0 149.0 163.0 190.0 201.0 246.0 295.0
Arginine biosynthesis PAO1	Pentose phosphate pathway PAO1	8	15.0 61.0 119.0 161.0 175.0 248.0 265.0 266.0
Propanoate metabolism PAO1	Valine, leucine and isoleucine degradation PAO1	8	61.0 128.0 149.0 151.0 173.0 198.0 201.0 234.0
Purine metabolism PAO1	Ribosome, bacteria	8	0.0 6.0 21.0 31.0 59.0 150.0 240.0 260.0
Cytochrome c oxidase, cbb3-type	Valine, leucine and isoleucine degradation PAO1	7	82.0 89.0 146.0 149.0 181.0 229.0 291.0
Quorum sensing PAO1	Tyrosine metabolism PAO1	7	16.0 121.0 151.0 163.0 214.0 255.0 287.0
Oxidative phosphorylation PAO1	Purine metabolism PAO1	7	0.0 6.0 21.0 31.0 59.0 150.0 260.0
Aminobenzoate degradation PAO1	Valine, leucine and isoleucine degradation PAO1	7	39.0 66.0 128.0 190.0 227.0 234.0 256.0
Propanoate metabolism PAO1	Quorum sensing PAO1	7	149.0 151.0 158.0 201.0 216.0 219.0 287.0
RNA degradation PAO1	Ribosome PAO1	7	0.0 5.0 8.0 21.0 31.0 63.0 194.0
Type VI secretion system	Tyrosine metabolism PAO1	7	82.0 85.0 173.0 253.0 264.0 281.0 287.0
Arginine biosynthesis PAO1	Bacterial chemotaxis PAO1	7	9.0 24.0 29.0 82.0 179.0 248.0 275.0
Dipeptide transport system	Type VI secretion system	7	82.0 149.0 173.0 179.0 201.0 227.0 287.0
Purine metabolism PAO1	Ribosome PAO1	7	0.0 6.0 21.0 31.0 59.0 150.0 240.0
Dipeptide transport system	Tyrosine metabolism PAO1	7	82.0 151.0 173.0 198.0 229.0 255.0 287.0
Arginine biosynthesis PAO1	Type VI secretion system	7	70.0 82.0 152.0 175.0 179.0 222.0 291.0
Quorum sensing PAO1	Vanadium resistance, efflux pump MexGHI-OpmD	6	7.0 158.0 219.0 230.0 261.0 295.0
Glyoxylate and dicarboxylate metabolism PAO1	Tyrosine metabolism PAO1	6	32.0 157.0 163.0 246.0 247.0 287.0
Propanoate metabolism PAO1	Type VI secretion system	6	149.0 153.0 173.0 175.0 201.0 287.0
Nitrogen metabolism PAO1	Type VI secretion system	6	70.0 82.0 152.0 201.0 237.0 259.0
Glyoxylate and dicarboxylate metabolism PAO1	Quorum sensing PAO1	6	149.0 158.0 163.0 201.0 287.0 295.0
Citrate cycle (TCA cycle) PAO1	Purine metabolism PAO1	6	0.0 6.0 21.0 31.0 59.0 150.0
Benzoate degradation PAO1	Valine, leucine and isoleucine degradation PAO1	6	66.0 128.0 190.0 227.0 256.0 261.0
Propanoate metabolism PAO1	Tyrosine metabolism PAO1	6	151.0 173.0 198.0 234.0 247.0 287.0
Oxidative phosphorylation PAO1	RNA degradation PAO1	6	0.0 5.0 21.0 31.0 194.0 293.0
Dipeptide transport system	Propanoate metabolism PAO1	6	149.0 151.0 173.0 198.0 201.0 287.0
Oxidative phosphorylation PAO1	Quorum sensing PAO1	6	57.0 163.0 201.0 241.0 256.0 294.0
Glutamate/aspartate transport system	Valine, leucine and isoleucine degradation PAO1	6	61.0 102.0 128.0 181.0 198.0 255.0
Glycolysis / Gluconeogenesis PAO1	Ribosome PAO1	5	0.0 6.0 34.0 59.0 270.0
Biosynthesis of siderophore group nonribosomal peptides PAO1	Valine, leucine and isoleucine degradation PAO1	5	39.0 105.0 128.0 163.0 230.0
Citrate cycle (TCA cycle) PAO1	RNA degradation PAO1	5	0.0 5.0 8.0 21.0 31.0
Ribosome, bacteria	Type VI secretion system	5	5.0 177.0 222.0 232.0 287.0
Dipeptide transport system	Quorum sensing PAO1	5	149.0 151.0 201.0 255.0 287.0
Aminobenzoate degradation PAO1	Propanoate metabolism PAO1	5	128.0 153.0 158.0 219.0 234.0
Arginine biosynthesis PAO1	Tyrosine metabolism PAO1	5	82.0 105.0 151.0 234.0 255.0
Glycolysis / Gluconeogenesis PAO1	Ribosome, bacteria	5	0.0 6.0 34.0 59.0 270.0
Bacterial chemotaxis PAO1	Type VI secretion system	5	82.0 179.0 232.0 237.0 269.0
Aminobenzoate degradation PAO1	Benzoate degradation PAO1	5	66.0 128.0 190.0 227.0 256.0
Arginine biosynthesis PAO1	Ribosome, bacteria	5	12.0 25.0 86.0 222.0 273.0
Glyoxylate and dicarboxylate metabolism PAO1	Propanoate metabolism PAO1	5	149.0 158.0 201.0 247.0 287.0
Oxidative phosphorylation PAO1	Pyrimidine metabolism PAO1	5	0.0 5.0 54.0 256.0 294.0
Fatty acid biosynthesis PAO1	Ribosome, bacteria	5	31.0 150.0 251.0 293.0 294.0
Pyrimidine metabolism PAO1	Ribosome, bacteria	5	0.0 5.0 8.0 54.0 294.0
Citrate cycle (TCA cycle) PAO1	Pyrimidine metabolism PAO1	5	0.0 5.0 8.0 256.0 294.0
Pyrimidine metabolism PAO1	Ribosome PAO1	5	0.0 5.0 8.0 54.0 294.0
Glutamate/aspartate transport system	Tyrosine metabolism PAO1	5	157.0 198.0 224.0 252.0 255.0
Aminobenzoate degradation PAO1	Quorum sensing PAO1	4	28.0 158.0 219.0 256.0
Flagellar assembly PAO1	Ribosome, bacteria	4	5.0 130.0 232.0 294.0
Arginine biosynthesis PAO1	Methane metabolism PAO1	4	10.0 25.0 152.0 234.0
2-Oxocarboxylic acid metabolism PAO1	Citrate cycle (TCA cycle) PAO1	4	0.0 6.0 31.0 59.0
Cytochrome c oxidase, cbb3-type	Type VI secretion system	4	82.0 149.0 232.0 291.0
Fatty acid biosynthesis PAO1	Oxidative phosphorylation PAO1	4	31.0 150.0 293.0 294.0
2-Oxocarboxylic acid metabolism PAO1	Ribosome PAO1	4	0.0 6.0 31.0 59.0
Arginine biosynthesis PAO1	Quorum sensing PAO1	4	70.0 151.0 216.0 255.0
Lipopolysaccharide biosynthesis PAO1	Ribosome, bacteria	4	6.0 63.0 260.0 293.0
Phenazine biosynthesis PAO1	Valine, leucine and isoleucine degradation PAO1	4	149.0 208.0 255.0 291.0
Alanine, aspartate and glutamate metabolism PAO1	Type VI secretion system	4	173.0 220.0 225.0 291.0
2-Oxocarboxylic acid metabolism PAO1	Ribosome, bacteria	4	0.0 6.0 31.0 59.0
Putative polar amino acid transport system	Sulfur metabolism PAO1	4	177.0 182.0 288.0 299.0
2-Oxocarboxylic acid metabolism PAO1	Purine metabolism PAO1	4	0.0 6.0 31.0 59.0
Arginine and proline metabolism PAO1	Arginine biosynthesis PAO1	4	102.0 128.0 152.0 255.0
Arginine biosynthesis PAO1	Glutamate/aspartate transport system	4	61.0 102.0 128.0 255.0
Quorum sensing PAO1	Type II general secretion pathway	4	28.0 158.0 163.0 230.0
Phenylalanine metabolism PAO1	Type VI secretion system	4	149.0 201.0 225.0 258.0
Arginine biosynthesis PAO1	Dipeptide transport system	4	82.0 151.0 179.0 255.0
Cyanoamino acid metabolism PAO1	Valine, leucine and isoleucine degradation PAO1	4	146.0 163.0 259.0 291.0
Arginine biosynthesis PAO1	Cyanoamino acid metabolism PAO1	4	70.0 152.0 179.0 291.0
Biosynthesis of siderophore group nonribosomal peptides PAO1	Quorum sensing PAO1	4	49.0 163.0 210.0 230.0
Styrene degradation PAO1	Valine, leucine and isoleucine degradation PAO1	4	39.0 190.0 201.0 295.0
Oxidative phosphorylation PAO1	Valine, leucine and isoleucine degradation PAO1	4	105.0 163.0 201.0 256.0
Glycolysis / Gluconeogenesis PAO1	Oxidative phosphorylation PAO1	4	0.0 6.0 57.0 59.0
Dipeptide transport system	Glyoxylate and dicarboxylate metabolism PAO1	4	149.0 190.0 201.0 287.0
Aminobenzoate degradation PAO1	Ribosome, bacteria	4	39.0 130.0 190.0 219.0
Glutamate/aspartate transport system	Propanoate metabolism PAO1	4	14.0 61.0 128.0 198.0
Arginine biosynthesis PAO1	Nitrogen metabolism PAO1	4	70.0 82.0 152.0 161.0
Pentose phosphate pathway PAO1	Quorum sensing PAO1	4	210.0 230.0 241.0 294.0
Arginine biosynthesis PAO1	Cytochrome c oxidase, cbb3-type	4	82.0 216.0 291.0 292.0
Histidine metabolism PAO1	Valine, leucine and isoleucine degradation PAO1	4	39.0 227.0 261.0 281.0
Lipopolysaccharide biosynthesis PAO1	Protein export PAO1	4	1.0 6.0 63.0 176.0
Peptidoglycan biosynthesis PAO1	Ribosome, bacteria	4	5.0 6.0 190.0 251.0
Phenylalanine metabolism PAO1	Quorum sensing PAO1	4	49.0 149.0 201.0 258.0
Quorum sensing PAO1	Ribosome, bacteria	4	210.0 219.0 287.0 294.0
Citrate cycle (TCA cycle) PAO1	Type VI secretion system	4	5.0 153.0 264.0 290.0
Ribosome, bacteria	Valine, leucine and isoleucine degradation PAO1	4	32.0 39.0 148.0 190.0
2-Oxocarboxylic acid metabolism PAO1	Oxidative phosphorylation PAO1	4	0.0 6.0 31.0 59.0
Glyoxylate and dicarboxylate metabolism PAO1	Ribosome, bacteria	4	32.0 190.0 247.0 287.0
Propanoate metabolism PAO1	Ribosome, bacteria	4	219.0 247.0 260.0 287.0
Flagellar assembly PAO1	Oxidative phosphorylation PAO1	3	5.0 241.0 294.0
Lipopolysaccharide biosynthesis PAO1	Purine metabolism PAO1	3	1.0 6.0 260.0
Purine metabolism PAO1	Pyrimidine metabolism PAO1	3	0.0 1.0 15.0
Pentose phosphate pathway PAO1	Ribosome, bacteria	3	30.0 210.0 294.0
Phosphonate and phosphinate metabolism PAO1	Quorum sensing PAO1	3	28.0 111.0 214.0
Cytochrome c oxidase, cbb3-type	Dipeptide transport system	3	82.0 149.0 229.0
Peptidoglycan biosynthesis PAO1	Valine, leucine and isoleucine degradation PAO1	3	35.0 146.0 190.0
Arginine and proline metabolism PAO1	Valine, leucine and isoleucine degradation PAO1	3	102.0 128.0 255.0
Macrolide resistance, MacAB-TolC transporter	Zinc transport system	3	8.0 38.0 225.0
Biosynthesis of siderophore group nonribosomal peptides PAO1	Ribosome, bacteria	3	8.0 39.0 210.0
Pyrimidine metabolism PAO1	RNA degradation PAO1	3	0.0 5.0 8.0
Propanoate metabolism PAO1	Pyruvate metabolism PAO1	3	61.0 173.0 233.0
Citrate cycle (TCA cycle) PAO1	Fatty acid biosynthesis PAO1	3	31.0 150.0 294.0
Glycine, serine and threonine metabolism PAO1	Type VI secretion system	3	159.0 225.0 227.0
Flagellar assembly PAO1	Type VI secretion system	3	5.0 232.0 237.0
Phenazine biosynthesis PAO1	Quorum sensing PAO1	3	73.0 149.0 255.0
Glyoxylate and dicarboxylate metabolism PAO1	Type VI secretion system	3	149.0 201.0 287.0
